biosequence_name,is_covering,presence_level,probability,confidence,n_observations,norm_PSMs_per_100K,n_distinct_peptides,chromosome,genetic_locus,start_in_chromosome,end_in_chromosome,strand,relationship_phrase,reference_biosequence,represented_by_biosequence_id,group_number,seq_unique_prots_in_group,protein_group_seq_align_link,is_keratin,is_immunoglobulin,biosequence_description,organism_full_name
O14793,C,canonical,  1.000,  1.000,39,  6.352,15,2,2q32.2,190920423,190927455,-,,,O14793,105,1,,,,GDF8_HUMAN Growth/differentiation factor 8 OS=Homo sapiens GN=MSTN PE=1 SV=1 CONCAT=13,Homo sapiens
P06756,C,canonical,  1.000,  1.000,4,  0.189,4,2,2q31-q32,0,0, ,,,P06756,106,4,,,,ITAV_HUMAN Integrin alpha-V OS=Homo sapiens GN=ITGAV PE=1 SV=2 CONCAT=13,Homo sapiens
Q9Y2B1,C,canonical,  1.000,  1.000,3,  0.419,3,12,12q14.2,64173583,64203300,+,,,Q9Y2B1,107,2,,,,TMEM5_HUMAN Transmembrane protein 5 OS=Homo sapiens GN=TMEM5 PE=1 SV=1 CONCAT=3,Homo sapiens
Q86Y38,C,canonical,  1.000,  1.000,70,  4.024,29,16,16p12.3,17195626,17564738,-,,,Q86Y38,108,1,,,,XYLT1_HUMAN Xylosyltransferase 1 OS=Homo sapiens GN=XYLT1 PE=1 SV=1 CONCAT=5,Homo sapiens
Q16706,C,canonical,  1.000,  1.000,190,  9.773,57,5,5q21.3,109025067,109202879,+,,,Q16706,109,1,,,,MA2A1_HUMAN Alpha-mannosidase 2 OS=Homo sapiens GN=MAN2A1 PE=1 SV=2 CONCAT=1,Homo sapiens
Q14696,C,canonical,  1.000,  1.000,4,  0.977,3,15,15q25.1,81268095,81282219,-,,,Q14696,110,1,,,,MESD_HUMAN LDLR chaperone MESD OS=Homo sapiens GN=MESDC2 PE=1 SV=2 CONCAT=6,Homo sapiens
Q9H1C7,C,canonical,  1.000,  1.000,6,  5.864,2,5,5q31.3,139554227,139623372,+,,,Q9H1C7,111,1,,,,CYTM1_HUMAN Cysteine-rich and transmembrane domain-containing protein 1 OS=Homo sapiens GN=CYSTM1 PE=1 SV=1 CONCAT=3,Homo sapiens
O94923,C,canonical,  1.000,  1.000,5,  0.473,5,15,15q23,69452973,69564538,+,,,O94923,112,2,,,,GLCE_HUMAN D-glucuronyl C5-epimerase OS=Homo sapiens GN=GLCE PE=1 SV=3 CONCAT=3,Homo sapiens
Q9UK55,C,canonical,  1.000,  1.000,68,  8.307,25,14,14q32.13,94749654,94759608,-,,,Q9UK55,113,2,,,,ZPI_HUMAN Protein Z-dependent protease inhibitor OS=Homo sapiens GN=SERPINA10 PE=1 SV=1 CONCAT=16,Homo sapiens
Q9H159,C,canonical,  1.000,  1.000,3,  0.284,3,18,18q22.1,64168320,64271371,-,,,Q9H159,114,5,,,,CAD19_HUMAN Cadherin-19 OS=Homo sapiens GN=CDH19 PE=2 SV=1 CONCAT=9,Homo sapiens
Q9BS26,C,canonical,  1.000,  1.000,33,  4.607,14,9,9q31.1,102741461,102861322,-,,,Q9BS26,115,1,,,,ERP44_HUMAN Endoplasmic reticulum resident protein 44 OS=Homo sapiens GN=ERP44 PE=1 SV=1 CONCAT=6,Homo sapiens
Q9H2A9,C,canonical,  1.000,  1.000,6,  1.099,5,19,19q13.11,34175434,34264414,+,,,Q9H2A9,116,2,,,,CHST8_HUMAN Carbohydrate sulfotransferase 8 OS=Homo sapiens GN=CHST8 PE=1 SV=2 CONCAT=3,Homo sapiens
Q07812,C,canonical,  1.000,  1.000,3,  0.880,2,19,19q13.3-q13.4,0,0, ,,,Q07812,117,5,,,,BAX_HUMAN Apoptosis regulator BAX OS=Homo sapiens GN=BAX PE=1 SV=1 CONCAT=7,Homo sapiens
Q96HJ9-2,C,canonical,  1.000,  1.000,2,  0.293,2,7,7q34,139025878,139031065,+,,,Q96HJ9-2,118,4,,,,CG055_HUMAN Isoform 2 of UPF0562 protein C7orf55 OS=Homo sapiens GN=C7orf55,Homo sapiens
Q13835,C,canonical,  1.000,  1.000,13,  0.829,8,1,1q32.1,201252580,201302121,+,,,Q13835,119,2,,,,PKP1_HUMAN Plakophilin-1 OS=Homo sapiens GN=PKP1 PE=1 SV=2 CONCAT=6,Homo sapiens
Q14566,C,canonical,  1.000,  1.000,3,  0.179,2,2,2q21.3,136597196,136633996,-,,,Q14566,120,1,,,,MCM6_HUMAN DNA replication licensing factor MCM6 OS=Homo sapiens GN=MCM6 PE=1 SV=1 CONCAT=4,Homo sapiens
Q13201,C,canonical,  1.000,  1.000,5,  0.190,3,4,4q22.1,90816052,90875778,+,,,Q13201,121,2,,,,MMRN1_HUMAN Multimerin-1 OS=Homo sapiens GN=MMRN1 PE=1 SV=3 CONCAT=14,Homo sapiens
P43003,C,canonical,  1.000,  1.000,5,  0.772,5,5,5p13.2,36606457,36688436,+,,,P43003,122,4,,,,EAA1_HUMAN Excitatory amino acid transporter 1 OS=Homo sapiens GN=SLC1A3 PE=1 SV=1 CONCAT=3,Homo sapiens
P51884,C,canonical,  1.000,  1.000,651,112.270,30,12,12q21.33,91496406,91505608,-,,,P51884,123,1,,,,LUM_HUMAN Lumican OS=Homo sapiens GN=LUM PE=1 SV=2 CONCAT=7,Homo sapiens
Q86TY3,C,canonical,  1.000,  1.000,7,  0.733,5,14,14q23.1,58467479,58618931,-,,,Q86TY3,124,3,,,,CN037_HUMAN Uncharacterized protein C14orf37 OS=Homo sapiens GN=C14orf37 PE=1 SV=1 CONCAT=10,Homo sapiens
Q13433,C,canonical,  1.000,  1.000,3,  0.326,3,18,18q12.2,33688495,33709281,-,,,Q13433,125,1,,,,S39A6_HUMAN Zinc transporter ZIP6 OS=Homo sapiens GN=SLC39A6 PE=1 SV=3 CONCAT=7,Homo sapiens
Q8WVN6,C,canonical,  1.000,  1.000,3,  1.099,2,17,17q25.3,80278900,80291874,-,,,Q8WVN6,126,5,,,,SCTM1_HUMAN Secreted and transmembrane protein 1 OS=Homo sapiens GN=SECTM1 PE=1 SV=2 CONCAT=6,Homo sapiens
Q96P63,C,canonical,  1.000,  1.000,17,  2.373,7,18,18q21.33,61223393,61234244,+,,,Q96P63,127,2,,,,SPB12_HUMAN Serpin B12 OS=Homo sapiens GN=SERPINB12 PE=1 SV=1 CONCAT=4,Homo sapiens
Q9H299,C,canonical,  1.000,  1.000,10,  5.864,3,1,1p36.11,26605667,26608007,+,,,Q9H299,128,4,,,,SH3L3_HUMAN SH3 domain-binding glutamic acid-rich-like protein 3 OS=Homo sapiens GN=SH3BGRL3 PE=1 SV=1 CONCAT=2,Homo sapiens
Q15427,C,canonical,  1.000,  1.000,3,  0.628,2,1,1q21.2,149895209,149900236,-,,,Q15427,129,2,,,,SF3B4_HUMAN Splicing factor 3B subunit 4 OS=Homo sapiens GN=SF3B4 PE=1 SV=1 CONCAT=2,Homo sapiens
P31949,C,canonical,  1.000,  1.000,8,  3.909,4,1,1q21.3,152004982,152009511,-,,,P31949,130,1,,,,S10AB_HUMAN Protein S100-A11 OS=Homo sapiens GN=S100A11 PE=1 SV=2 CONCAT=2,Homo sapiens
Q96HF1,C,canonical,  1.000,  1.000,7,  1.466,6,4,4q31.3,154701744,154710272,-,,,Q96HF1,131,1,,,,SFRP2_HUMAN Secreted frizzled-related protein 2 OS=Homo sapiens GN=SFRP2 PE=1 SV=2 CONCAT=8,Homo sapiens
Q99650,C,canonical,  1.000,  1.000,19,  1.114,10,5,5p13.1,38846101,38935743,+,,,Q99650,132,2,,,,OSMR_HUMAN Oncostatin-M-specific receptor subunit beta OS=Homo sapiens GN=OSMR PE=1 SV=1 CONCAT=17,Homo sapiens
O43300,C,canonical,  1.000,  1.000,29,  2.743,13,5,5q31.2,138204612,138210979,-,,,O43300,133,1,,,,LRRT2_HUMAN Leucine-rich repeat transmembrane neuronal protein 2 OS=Homo sapiens GN=LRRTM2 PE=2 SV=3 CONCAT=6,Homo sapiens
Q8IX30,C,canonical,  1.000,  1.000,9,  0.574,5,6,6p21.31,35182196,35220856,+,,,Q8IX30,134,2,,,,"SCUB3_HUMAN Signal peptide, CUB and EGF-like domain-containing protein 3 OS=Homo sapiens GN=SCUBE3 PE=1 SV=1 CONCAT=7",Homo sapiens
Q9NS84,C,canonical,  1.000,  1.000,4,  0.404,3,X,Xp11.23,46433219,46457843,+,,,Q9NS84,135,1,,,,CHST7_HUMAN Carbohydrate sulfotransferase 7 OS=Homo sapiens GN=CHST7 PE=1 SV=2 CONCAT=1,Homo sapiens
Q6ZRI8,C,canonical,  1.000,  1.000,5,  0.586,3,X,Xq26.1,130192216,130223853,+,,,Q6ZRI8,136,5,,,,RHG36_HUMAN Rho GTPase-activating protein 36 OS=Homo sapiens GN=ARHGAP36 PE=2 SV=1 CONCAT=5,Homo sapiens
O60939,C,canonical,  1.000,  1.000,15,  3.998,5,11,11q23.3,118032666,118047388,-,,,O60939,137,1,,,,SCN2B_HUMAN Sodium channel subunit beta-2 OS=Homo sapiens GN=SCN2B PE=1 SV=1 CONCAT=12,Homo sapiens
Q8NI32,C,canonical,  1.000,  1.000,4,  1.303,2,2,2q23.2,149934036,150071776,+,,,Q8NI32,138,3,,,,LPD6B_HUMAN Ly6/PLAUR domain-containing protein 6B OS=Homo sapiens GN=LYPD6B PE=2 SV=1 CONCAT=9,Homo sapiens
P49767,C,canonical,  1.000,  1.000,3,  0.338,2,4,4q34.3,177604689,177713881,-,,,P49767,139,2,,,,VEGFC_HUMAN Vascular endothelial growth factor C OS=Homo sapiens GN=VEGFC PE=1 SV=1 CONCAT=13,Homo sapiens
Q4G148,C,canonical,  1.000,  1.000,7,  1.026,6,12,12q12,42480947,42538514,-,,,Q4G148,140,2,,,,GXLT1_HUMAN Glucoside xylosyltransferase 1 OS=Homo sapiens GN=GXYLT1 PE=1 SV=2 CONCAT=1,Homo sapiens
P17302,C,canonical,  1.000,  1.000,4,  0.617,3,6,6q22.31,121756838,121770873,+,,,P17302,141,2,,,,CXA1_HUMAN Gap junction alpha-1 protein OS=Homo sapiens GN=GJA1 PE=1 SV=2 CONCAT=78,Homo sapiens
P56199,C,canonical,  1.000,  1.000,5,  0.236,5,5,5q11.2,52083730,52255040,+,,,P56199,142,1,,,,ITA1_HUMAN Integrin alpha-1 OS=Homo sapiens GN=ITGA1 PE=1 SV=2 CONCAT=10,Homo sapiens
Q9UBU2,C,canonical,  1.000,  1.000,3,  0.677,2,4,4q25,107842959,107957454,-,,,Q9UBU2,143,2,,,,DKK2_HUMAN Dickkopf-related protein 2 OS=Homo sapiens GN=DKK2 PE=1 SV=1 CONCAT=7,Homo sapiens
Q9UI40,C,canonical,  1.000,  1.000,14,  1.520,6,9,9p22.1,19515978,19786926,-,,,Q9UI40,144,2,,,,NCKX2_HUMAN Sodium/potassium/calcium exchanger 2 OS=Homo sapiens GN=SLC24A2 PE=1 SV=1 CONCAT=1,Homo sapiens
Q8NFL0,C,canonical,  1.000,  1.000,3,  0.463,3,2,2q37.1,232260254,232265875,+,,,Q8NFL0,145,1,,,,"B3GN7_HUMAN UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 7 OS=Homo sapiens GN=B3GNT7 PE=2 SV=1 CONCAT=2",Homo sapiens
P61278,C,canonical,  1.000,  1.000,4,  2.932,2,3,3q27.3,187386694,187388187,-,,,P61278,146,1,,,,SMS_HUMAN Somatostatin OS=Homo sapiens GN=SST PE=1 SV=1 CONCAT=14,Homo sapiens
Q99727,C,canonical,  1.000,  1.000,10,  2.665,5,3,3p25.2,12194551,12200851,-,,,Q99727,147,1,,,,TIMP4_HUMAN Metalloproteinase inhibitor 4 OS=Homo sapiens GN=TIMP4 PE=1 SV=1 CONCAT=6,Homo sapiens
P62805,C,canonical,  1.000,  1.000,197, 96.260,6,6,6p22.2,26281283,26285762,-,,,P62805,148,1,,,,H4_HUMAN Histone H4 OS=Homo sapiens GN=HIST1H4A PE=1 SV=2 CONCAT=3,Homo sapiens
P48047,C,canonical,  1.000,  1.000,2,  0.489,2,21,21q22.11,35275757,35288284,-,,,P48047,149,3,,,,"ATPO_HUMAN ATP synthase subunit O, mitochondrial OS=Homo sapiens GN=ATP5O PE=1 SV=1 CONCAT=5",Homo sapiens
P28070,C,canonical,  1.000,  1.000,3,  0.733,3,1,1q21.3,151372010,151374420,+,,,P28070,150,1,,,,PSB4_HUMAN Proteasome subunit beta type-4 OS=Homo sapiens GN=PSMB4 PE=1 SV=4 CONCAT=7,Homo sapiens
Q9BW30,C,canonical,  1.000,  1.000,10,  2.665,6,16,16q22.1,67423728,67427421,-,,,Q9BW30,151,1,,,,TPPP3_HUMAN Tubulin polymerization-promoting protein family member 3 OS=Homo sapiens GN=TPPP3 PE=1 SV=1 CONCAT=2,Homo sapiens
P61421,C,canonical,  1.000,  1.000,3,  0.489,3,16,16q22.1,67471922,67515140,-,,,P61421,152,4,,,,VA0D1_HUMAN V-type proton ATPase subunit d 1 OS=Homo sapiens GN=ATP6V0D1 PE=1 SV=1 CONCAT=1,Homo sapiens
P12273,C,canonical,  1.000,  1.000,13,  4.235,7,7,7q34,142829170,142836839,+,,,P12273,153,1,,,,PIP_HUMAN Prolactin-inducible protein OS=Homo sapiens GN=PIP PE=1 SV=1 CONCAT=6,Homo sapiens
P04080,C,canonical,  1.000,  1.000,26, 15.245,4,21,21q22.3,45192393,45196326,-,,,P04080,154,1,,,,CYTB_HUMAN Cystatin-B OS=Homo sapiens GN=CSTB PE=1 SV=2 CONCAT=3,Homo sapiens
O95159,C,canonical,  1.000,  1.000,5,  1.128,3,11,11q13.1,64851707,64855870,+,,,O95159,155,1,,,,ZFPL1_HUMAN Zinc finger protein-like 1 OS=Homo sapiens GN=ZFPL1 PE=1 SV=2 CONCAT=2,Homo sapiens
Q8NBI3,C,canonical,  1.000,  1.000,9,  2.030,6,1,1p36.22,11751786,11785914,+,,,Q8NBI3,156,1,,,,DRAXI_HUMAN Draxin OS=Homo sapiens GN=DRAXIN PE=1 SV=2 CONCAT=8,Homo sapiens
O75095,C,canonical,  1.000,  1.000,10,  0.451,6,1,1p36.32,3406484,3448012,-,,,O75095,157,4,,,,MEGF6_HUMAN Multiple epidermal growth factor-like domains protein 6 OS=Homo sapiens GN=MEGF6 PE=1 SV=4 CONCAT=15,Homo sapiens
P09529,C,canonical,  1.000,  1.000,5,  0.772,5,2,2q14.2,121103719,121109384,+,,,P09529,158,1,,,,INHBB_HUMAN Inhibin beta B chain OS=Homo sapiens GN=INHBB PE=1 SV=2 CONCAT=9,Homo sapiens
Q8NC42,C,canonical,  1.000,  1.000,3,  0.463,2,2,2q11.2,101892553,101925158,-,,,Q8NC42,159,2,,,,RN149_HUMAN E3 ubiquitin-protein ligase RNF149 OS=Homo sapiens GN=RNF149 PE=2 SV=2 CONCAT=12,Homo sapiens
P23582,C,canonical,  1.000,  1.000,13,  7.623,2,2,2q37.1,232790095,232791038,-,,,P23582,160,1,,,,ANFC_HUMAN C-type natriuretic peptide OS=Homo sapiens GN=NPPC PE=1 SV=1 CONCAT=14,Homo sapiens
P23470,C,canonical,  1.000,  1.000,161,  6.648,22,3,3p14.2,61547585,62279004,+,,,P23470,161,2,,,,PTPRG_HUMAN Receptor-type tyrosine-protein phosphatase gamma OS=Homo sapiens GN=PTPRG PE=1 SV=4 CONCAT=9,Homo sapiens
P17600,C,canonical,  1.000,  1.000,10,  0.888,8,X,Xp11.23,47431303,47479252,-,,,P17600,162,2,,,,SYN1_HUMAN Synapsin-1 OS=Homo sapiens GN=SYN1 PE=1 SV=3 CONCAT=1,Homo sapiens
P02775,C,canonical,  1.000,  1.000,15,  6.282,6,4,4q13.3,74852755,74853914,-,,,P02775,163,1,,,,CXCL7_HUMAN Platelet basic protein OS=Homo sapiens GN=PPBP PE=1 SV=3 CONCAT=19,Homo sapiens
O75394,C,canonical,  1.000,  1.000,2,  1.955,2,2,2p23.2,27994584,28002608,+,,,O75394,164,3,,,,"RM33_HUMAN 39S ribosomal protein L33, mitochondrial OS=Homo sapiens GN=MRPL33 PE=1 SV=1 CONCAT=1",Homo sapiens
Q96QV1,C,canonical,  1.000,  1.000,3,  0.220,3,4,4q31.21,145567173,145666423,+,,,Q96QV1,165,3,,,,HHIP_HUMAN Hedgehog-interacting protein OS=Homo sapiens GN=HHIP PE=1 SV=3 CONCAT=7,Homo sapiens
O43854,C,canonical,  1.000,  1.000,7,  0.760,6,5,5q14.3,83236373,83680611,-,,,O43854,166,2,,,,EDIL3_HUMAN EGF-like repeat and discoidin I-like domain-containing protein 3 OS=Homo sapiens GN=EDIL3 PE=1 SV=1 CONCAT=6,Homo sapiens
Q96DG6,C,canonical,  1.000,  1.000,2,  0.366,2,5,5p15.2,10279389,10308138,-,,,Q96DG6,167,1,,,,CMBL_HUMAN Carboxymethylenebutenolidase homolog OS=Homo sapiens GN=CMBL PE=1 SV=1 CONCAT=3,Homo sapiens
P46821,C,canonical,  1.000,  1.000,4,  0.101,3,5,5q13.2,71403061,71505395,+,,,P46821,168,1,,,,MAP1B_HUMAN Microtubule-associated protein 1B OS=Homo sapiens GN=MAP1B PE=1 SV=2 CONCAT=10,Homo sapiens
O75509,C,canonical,  1.000,  1.000,77,  6.101,13,6,6p12.3,47199268,47277641,-,,,O75509,169,1,,,,TNR21_HUMAN Tumor necrosis factor receptor superfamily member 21 OS=Homo sapiens GN=TNFRSF21 PE=1 SV=1 CONCAT=6,Homo sapiens
P30048,C,canonical,  1.000,  1.000,10,  2.094,5,10,10q25-q26,0,0, ,,,P30048,170,2,,,,"PRDX3_HUMAN Thioredoxin-dependent peroxide reductase, mitochondrial OS=Homo sapiens GN=PRDX3 PE=1 SV=3 CONCAT=7",Homo sapiens
Q96JQ0,C,canonical,  1.000,  1.000,12,  0.248,12,11,11p15.4,6642556,6677085,-,,,Q96JQ0,171,1,,,,PCD16_HUMAN Protocadherin-16 OS=Homo sapiens GN=DCHS1 PE=1 SV=1 CONCAT=11,Homo sapiens
P23284,C,canonical,  1.000,  1.000,105, 23.680,15,15,15q22.31,64448011,64455404,-,,,P23284,172,1,,,,PPIB_HUMAN Peptidyl-prolyl cis-trans isomerase B OS=Homo sapiens GN=PPIB PE=1 SV=2 CONCAT=8,Homo sapiens
Q93091,C,canonical,  1.000,  1.000,30, 10.994,6,14,14q11.2,21249210,21250626,+,,,Q93091,173,1,,,,RNAS6_HUMAN Ribonuclease K6 OS=Homo sapiens GN=RNASE6 PE=1 SV=2 CONCAT=7,Homo sapiens
Q16581,C,canonical,  1.000,  1.000,3,  0.517,3,12,12p13.31,8210898,8219067,-,,,Q16581,174,1,,,,C3AR_HUMAN C3a anaphylatoxin chemotactic receptor OS=Homo sapiens GN=C3AR1 PE=1 SV=2 CONCAT=2,Homo sapiens
Q02750,C,canonical,  1.000,  1.000,3,  0.463,2,15,15q22.31,66679155,66784650,+,,,Q02750,175,2,,,,MP2K1_HUMAN Dual specificity mitogen-activated protein kinase kinase 1 OS=Homo sapiens GN=MAP2K1 PE=1 SV=2 CONCAT=5,Homo sapiens
Q8TAD2,C,canonical,  1.000,  1.000,3,  0.628,2,13,13q12.11,21277482,21297237,+,,,Q8TAD2,176,1,,,,IL17D_HUMAN Interleukin-17D OS=Homo sapiens GN=IL17D PE=2 SV=1 CONCAT=6,Homo sapiens
Q9HCJ6,C,canonical,  1.000,  1.000,3,  0.382,2,16,16q23.1,77822427,78014004,+,,,Q9HCJ6,177,1,,,,VAT1L_HUMAN Synaptic vesicle membrane protein VAT-1 homolog-like OS=Homo sapiens GN=VAT1L PE=1 SV=2 CONCAT=1,Homo sapiens
Q06141,C,canonical,  1.000,  1.000,13,  5.445,4,2,2p12,79384218,79386875,-,,,Q06141,178,1,,,,REG3A_HUMAN Regenerating islet-derived protein 3-alpha OS=Homo sapiens GN=REG3A PE=1 SV=1 CONCAT=13,Homo sapiens
Q96EU7,C,canonical,  1.000,  1.000,7,  1.207,7,X,Xq24,119759648,119764005,-,,,Q96EU7,179,1,,,,C1GLC_HUMAN C1GALT1-specific chaperone 1 OS=Homo sapiens GN=C1GALT1C1 PE=1 SV=1 CONCAT=6,Homo sapiens
P17677,C,canonical,  1.000,  1.000,50, 12.216,22,3,3q13.31,115342171,115440337,+,,,P17677,180,2,,,,NEUM_HUMAN Neuromodulin OS=Homo sapiens GN=GAP43 PE=1 SV=1 CONCAT=3,Homo sapiens
Q9NZN1,C,canonical,  1.000,  1.000,13,  0.953,8,X,Xp21.2,28807461,29973937,+,,,Q9NZN1,181,1,,,,IRPL1_HUMAN Interleukin-1 receptor accessory protein-like 1 OS=Homo sapiens GN=IL1RAPL1 PE=1 SV=2 CONCAT=10,Homo sapiens
O15354,C,canonical,  1.000,  1.000,40,  4.044,24,7,7q31.33,124386051,124405681,-,,,O15354,182,2,,,,GPR37_HUMAN Prosaposin receptor GPR37 OS=Homo sapiens GN=GPR37 PE=1 SV=2 CONCAT=6,Homo sapiens
Q96S66,C,canonical,  1.000,  1.000,3,  0.293,3,1,1p13.3,109477280,109493070,-,,,Q96S66,183,4,,,,CLCC1_HUMAN Chloride channel CLIC-like protein 1 OS=Homo sapiens GN=CLCC1 PE=1 SV=1 CONCAT=7,Homo sapiens
Q9UKY0,C,canonical,  1.000,  1.000,4,  1.303,3,20,20p13,4702556,4709106,+,,,Q9UKY0,184,1,,,,PRND_HUMAN Prion-like protein doppel OS=Homo sapiens GN=PRND PE=1 SV=2 CONCAT=22,Homo sapiens
P34096,C,canonical,  1.000,  1.000,73, 26.752,13,14,14q11.2,21152818,21168710,+,,,P34096,185,1,,,,RNAS4_HUMAN Ribonuclease 4 OS=Homo sapiens GN=RNASE4 PE=1 SV=3 CONCAT=8,Homo sapiens
O60741,C,canonical,  1.000,  1.000,8,  0.634,4,5,5p12,45259349,45696253,-,,,O60741,186,1,,,,HCN1_HUMAN Potassium/sodium hyperpolarization-activated cyclic nucleotide-gated channel 1 OS=Homo sapiens GN=HCN1 PE=2 SV=3 CONCAT=3,Homo sapiens
Q9P2W7,C,canonical,  1.000,  1.000,3,  0.550,3,11,11q25,134248402,134281812,-,,,Q9P2W7,187,3,,,,B3GA1_HUMAN Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 1 OS=Homo sapiens GN=B3GAT1 PE=1 SV=2 CONCAT=2,Homo sapiens
Q8TBP5,C,canonical,  1.000,  1.000,3,  1.256,3,5,5q21.1,99871009,99922445,+,,,Q8TBP5,188,1,,,,F174A_HUMAN Membrane protein FAM174A OS=Homo sapiens GN=FAM174A PE=2 SV=1 CONCAT=6,Homo sapiens
Q16143,C,canonical,  1.000,  1.000,2,  0.977,2,5,5q35.2,176047085,176057365,-,,,Q16143,189,1,,,,SYUB_HUMAN Beta-synuclein OS=Homo sapiens GN=SNCB PE=1 SV=1 CONCAT=1,Homo sapiens
Q9Y2Z0,C,canonical,  1.000,  1.000,4,  0.533,3,13,13q14.3,53227001,53275044,+,,,Q9Y2Z0,190,4,,,,SUGT1_HUMAN Suppressor of G2 allele of SKP1 homolog OS=Homo sapiens GN=SUGT1 PE=1 SV=3 CONCAT=2,Homo sapiens
P15328,C,canonical,  1.000,  1.000,18,  3.769,9,11,11q13.4,71900602,71907344,+,,,P15328,191,1,,,,FOLR1_HUMAN Folate receptor alpha OS=Homo sapiens GN=FOLR1 PE=1 SV=3 CONCAT=13,Homo sapiens
P50281,C,canonical,  1.000,  1.000,8,  0.938,3,14,14q11.2,23305766,23316970,+,,,P50281,192,2,,,,MMP14_HUMAN Matrix metalloproteinase-14 OS=Homo sapiens GN=MMP14 PE=1 SV=3 CONCAT=22,Homo sapiens
O43916,C,canonical,  1.000,  1.000,17,  2.492,7,11,11p11.2,45670427,45687172,-,,,O43916,193,1,,,,CHST1_HUMAN Carbohydrate sulfotransferase 1 OS=Homo sapiens GN=CHST1 PE=1 SV=1 CONCAT=1,Homo sapiens
O43633,C,canonical,  1.000,  1.000,2,  0.586,2,19,19q13.43,59062933,59066491,-,,,O43633,194,2,,,,CHM2A_HUMAN Charged multivesicular body protein 2a OS=Homo sapiens GN=CHMP2A PE=1 SV=1 CONCAT=1,Homo sapiens
Q8IVA1,C,canonical,  1.000,  1.000,2,  0.838,2,19,19p13.2,7696501,7698634,-,,,Q8IVA1,195,2,,,,PCP2_HUMAN Purkinje cell protein 2 homolog OS=Homo sapiens GN=PCP2 PE=1 SV=2 CONCAT=1,Homo sapiens
O60909,C,canonical,  1.000,  1.000,3,  0.463,3,1,1p33-p34,0,0, ,,,O60909,196,3,,,,"B4GT2_HUMAN Beta-1,4-galactosyltransferase 2 OS=Homo sapiens GN=B4GALT2 PE=1 SV=1 CONCAT=3",Homo sapiens
Q15828,C,canonical,  1.000,  1.000,51, 21.360,8,11,11q13.1,65779312,65780976,+,,,Q15828,197,1,,,,CYTM_HUMAN Cystatin-M OS=Homo sapiens GN=CST6 PE=1 SV=1 CONCAT=6,Homo sapiens
O15020,C,canonical,  1.000,  1.000,4,  0.090,4,11,11q13.2,66452721,66488870,-,,,O15020,198,2,,,,"SPTN2_HUMAN Spectrin beta chain, non-erythrocytic 2 OS=Homo sapiens GN=SPTBN2 PE=1 SV=3 CONCAT=10",Homo sapiens
Q9UIB8,C,canonical,  1.000,  1.000,13,  2.006,5,1,1q24,0,0, ,,,Q9UIB8,199,6,,,,SLAF5_HUMAN SLAM family member 5 OS=Homo sapiens GN=CD84 PE=1 SV=1 CONCAT=6,Homo sapiens
P41159,C,canonical,  1.000,  1.000,2,  0.733,2,7,7q32.1,127881337,127897681,+,,,P41159,200,1,,,,LEP_HUMAN Leptin OS=Homo sapiens GN=LEP PE=1 SV=1 CONCAT=11,Homo sapiens
Q7Z7M8,C,canonical,  1.000,  1.000,12,  1.675,7,19,19q13.2,41931264,41934635,-,,,Q7Z7M8,201,1,,,,"B3GN8_HUMAN UDP-GlcNAc:betaGal beta-1,3-N-acetylglucosaminyltransferase 8 OS=Homo sapiens GN=B3GNT8 PE=1 SV=1 CONCAT=2",Homo sapiens
P47929,C,canonical,  1.000,  1.000,9,  2.639,2,19,19q13.2,39279851,39282389,+,,,P47929,202,1,,,,LEG7_HUMAN Galectin-7 OS=Homo sapiens GN=LGALS7 PE=1 SV=2 CONCAT=1,Homo sapiens
P35219,C,canonical,  1.000,  1.000,5,  1.128,4,8,8q12.1,61099906,61193971,-,,,P35219,203,1,,,,CAH8_HUMAN Carbonic anhydrase-related protein OS=Homo sapiens GN=CA8 PE=1 SV=3 CONCAT=2,Homo sapiens
Q13151,C,canonical,  1.000,  1.000,4,  0.733,3,5,5q31.2,137087075,137090039,-,,,Q13151,204,1,,,,ROA0_HUMAN Heterogeneous nuclear ribonucleoprotein A0 OS=Homo sapiens GN=HNRNPA0 PE=1 SV=1 CONCAT=1,Homo sapiens
Q6IEE7,C,canonical,  1.000,  1.000,50,  3.332,23,17,17q12,32907768,32966337,+,,,Q6IEE7,205,1,,,,T132E_HUMAN Transmembrane protein 132E OS=Homo sapiens GN=TMEM132E PE=2 SV=1 CONCAT=6,Homo sapiens
Q8IYJ0,C,canonical,  1.000,  1.000,4,  0.977,4,12,12p13.31,6802958,6809966,-,,,Q8IYJ0,206,3,,,,PIANP_HUMAN PILR alpha-associated neural protein OS=Homo sapiens GN=PIANP PE=2 SV=1 CONCAT=6,Homo sapiens
P23434,C,canonical,  1.000,  1.000,6,  2.199,2,16,16q23.2,81115566,81130008,-,,,P23434,207,1,,,,"GCSH_HUMAN Glycine cleavage system H protein, mitochondrial OS=Homo sapiens GN=GCSH PE=1 SV=2 CONCAT=6",Homo sapiens
P23560,C,canonical,  1.000,  1.000,8,  1.466,3,11,11p13,0,0, ,,,P23560,208,6,,,,BDNF_HUMAN Brain-derived neurotrophic factor OS=Homo sapiens GN=BDNF PE=1 SV=1 CONCAT=15,Homo sapiens
