Accession;Protein Name;Molecular Weight;Protein Grouping Ambiguity;Flow-through Proteins;Original Proteins;Bound Proteins;Commonly identifiable proteins in normal CSF
O75955;Flotillin-1 OS=Homo sapiens GN=FLOT1 PE=1 SV=3;47 kDa;;2;;0;
O75962;Triple functional domain protein OS=Homo sapiens GN=TRIO PE=1 SV=2;347 kDa;TRUE;2;0;1;
O75973;C1q-related factor OS=Homo sapiens GN=C1QL1 PE=2 SV=1;26 kDa;TRUE;4;2;;
O75976;Carboxypeptidase D OS=Homo sapiens GN=CPD PE=1 SV=2;153 kDa;;17;9;;Yes
O76003;Glutaredoxin-3 OS=Homo sapiens GN=GLRX3 PE=1 SV=2;37 kDa;;2;;;
O76041;Nebulette OS=Homo sapiens GN=NEBL PE=1 SV=1;116 kDa;;2;1;;
O76061;Stanniocalcin-2 OS=Homo sapiens GN=STC2 PE=1 SV=1;33 kDa;;5;5;4;Yes
O76070;Gamma-synuclein OS=Homo sapiens GN=SNCG PE=1 SV=2;13 kDa;TRUE;8;4;;
O76076;WNT1-inducible-signaling pathway protein 2 OS=Homo sapiens GN=WISP2 PE=1 SV=1;27 kDa;;1;3;;
O94760;N(G),N(G)-dimethylarginine dimethylaminohydrolase 1 OS=Homo sapiens GN=DDAH1 PE=1 SV=3;31 kDa;TRUE;15;13;1;Yes
O94766;Galactosylgalactosylxylosylprotein 3-beta-glucuronosyltransferase 3 OS=Homo sapiens GN=B3GAT3 PE=1 SV=2;37 kDa;TRUE;8;7;4;Yes
O94769;Extracellular matrix protein 2 OS=Homo sapiens GN=ECM2 PE=2 SV=1;80 kDa;TRUE;23;21;14;Yes
O94772;Lymphocyte antigen 6H OS=Homo sapiens GN=LY6H PE=2 SV=1;15 kDa;;5;4;2;Yes
O94779;Contactin-5 OS=Homo sapiens GN=CNTN5 PE=2 SV=2;121 kDa;TRUE;18;5;0;Yes
O94813;Slit homolog 2 protein OS=Homo sapiens GN=SLIT2 PE=1 SV=1;170 kDa;TRUE;2;;0;
O94856;Neurofascin OS=Homo sapiens GN=NFASC PE=1 SV=4;150 kDa;;49;39;7;Yes
O94898;Leucine-rich repeats and immunoglobulin-like domains protein 2 OS=Homo sapiens GN=LRIG2 PE=1 SV=3;119 kDa;TRUE;18;7;1;Yes
O94910;Latrophilin-1 OS=Homo sapiens GN=LPHN1 PE=1 SV=1;163 kDa;TRUE;30;15;2;Yes
O94913;Pre-mRNA cleavage complex 2 protein Pcf11 OS=Homo sapiens GN=PCF11 PE=1 SV=3;173 kDa;;2;;0;
O94919;Endonuclease domain-containing 1 protein OS=Homo sapiens GN=ENDOD1 PE=1 SV=2;55 kDa;;15;15;1;Yes
O94923;D-glucuronyl C5-epimerase OS=Homo sapiens GN=GLCE PE=1 SV=3;70 kDa;TRUE;6;2;;
O94933;SLIT and NTRK-like protein 3 OS=Homo sapiens GN=SLITRK3 PE=2 SV=2;109 kDa;;10;4;;Yes
O94973;AP-2 complex subunit alpha-2 OS=Homo sapiens GN=AP2A2 PE=1 SV=2;104 kDa;TRUE;9;6;0;Yes
O94985;Calsyntenin-1 OS=Homo sapiens GN=CLSTN1 PE=1 SV=1;110 kDa;;44;44;10;Yes
O94991;SLIT and NTRK-like protein 5 OS=Homo sapiens GN=SLITRK5 PE=1 SV=2;107 kDa;TRUE;14;6;;Yes
O95025;Semaphorin-3D OS=Homo sapiens GN=SEMA3D PE=2 SV=2;90 kDa;TRUE;8;2;0;
O95084;Serine protease 23 OS=Homo sapiens GN=PRSS23 PE=1 SV=1;43 kDa;TRUE;3;2;;
O95153;Peripheral-type benzodiazepine receptor-associated protein 1 OS=Homo sapiens GN=BZRAP1 PE=1 SV=2;200 kDa;;2;0;1;
O95157;Neurexophilin-3 OS=Homo sapiens GN=NXPH3 PE=1 SV=3;28 kDa;;3;;;
O95158;Neurexophilin-4 OS=Homo sapiens GN=NXPH4 PE=2 SV=3;33 kDa;;2;2;;
O95166;Gamma-aminobutyric acid receptor-associated protein OS=Homo sapiens GN=GABARAP PE=1 SV=1;14 kDa;TRUE;2;;;
O95185;Netrin receptor UNC5C OS=Homo sapiens GN=UNC5C PE=1 SV=2;103 kDa;TRUE;10;4;1;Yes
O95206;Protocadherin-8 OS=Homo sapiens GN=PCDH8 PE=2 SV=2;113 kDa;TRUE;13;10;3;Yes
O95297;Myelin protein zero-like protein 1 OS=Homo sapiens GN=MPZL1 PE=1 SV=1;29 kDa;;1;2;;
O95302;Peptidyl-prolyl cis-trans isomerase FKBP9 OS=Homo sapiens GN=FKBP9 PE=1 SV=2;63 kDa;;5;1;;
O95336;6-phosphogluconolactonase OS=Homo sapiens GN=PGLS PE=1 SV=2;28 kDa;;8;9;1;Yes
O95347;Structural maintenance of chromosomes protein 2 OS=Homo sapiens GN=SMC2 PE=1 SV=2;136 kDa;;0;2;0;
O95390;Growth/differentiation factor 11 OS=Homo sapiens GN=GDF11 PE=2 SV=1;45 kDa;TRUE;9;6;2;Yes
O95394;Phosphoacetylglucosamine mutase OS=Homo sapiens GN=PGM3 PE=1 SV=1;60 kDa;;3;;;
O95407;Tumor necrosis factor receptor superfamily member 6B OS=Homo sapiens GN=TNFRSF6B PE=1 SV=1;33 kDa;;3;1;;
O95428;Papilin OS=Homo sapiens GN=PAPLN PE=2 SV=4;138 kDa;TRUE;41;24;2;
O95433;Activator of 90 kDa heat shock protein ATPase homolog 1 OS=Homo sapiens GN=AHSA1 PE=1 SV=1;38 kDa;;2;;0;
O95445;Apolipoprotein M OS=Homo sapiens GN=APOM PE=1 SV=2;21 kDa;;6;7;7;Yes
O95450;A disintegrin and metalloproteinase with thrombospondin motifs 2 OS=Homo sapiens GN=ADAMTS2 PE=2 SV=2;135 kDa;;5;3;0;
O95461;Glycosyltransferase-like protein LARGE1 OS=Homo sapiens GN=LARGE PE=1 SV=1;88 kDa;;7;;;
O95479;GDH/6PGL endoplasmic bifunctional protein OS=Homo sapiens GN=H6PD PE=1 SV=2;89 kDa;;12;1;1;
O95490;Latrophilin-2 OS=Homo sapiens GN=LPHN2 PE=1 SV=2;163 kDa;TRUE;16;5;0;Yes
O95497;Pantetheinase OS=Homo sapiens GN=VNN1 PE=1 SV=2;57 kDa;;7;5;;Yes
O95502;Neuronal pentraxin receptor OS=Homo sapiens GN=NPTXR PE=2 SV=2;53 kDa;;24;27;2;Yes
O95630;STAM-binding protein OS=Homo sapiens GN=STAMBP PE=1 SV=1;48 kDa;;3;;;
O95633;Follistatin-related protein 3 OS=Homo sapiens GN=FSTL3 PE=1 SV=1;28 kDa;;6;4;;
O95678;Cluster of Keratin, type II cytoskeletal 75 OS=Homo sapiens GN=KRT75 PE=1 SV=2 (O95678);60 kDa;TRUE;15;24;20;
O95747;Serine/threonine-protein kinase OSR1 OS=Homo sapiens GN=OXSR1 PE=1 SV=1;58 kDa;TRUE;2;;;
O95782;AP-2 complex subunit alpha-1 OS=Homo sapiens GN=AP2A1 PE=1 SV=3;108 kDa;TRUE;9;3;;Yes
O95817;BAG family molecular chaperone regulator 3 OS=Homo sapiens GN=BAG3 PE=1 SV=3;62 kDa;;3;1;;
O95841;Angiopoietin-related protein 1 OS=Homo sapiens GN=ANGPTL1 PE=2 SV=1;57 kDa;TRUE;10;7;;
O95861;3'(2'),5'-bisphosphate nucleotidase 1 OS=Homo sapiens GN=BPNT1 PE=1 SV=1;33 kDa;;6;2;;
O95865;N(G),N(G)-dimethylarginine dimethylaminohydrolase 2 OS=Homo sapiens GN=DDAH2 PE=1 SV=1;30 kDa;TRUE;9;9;1;Yes
O95881;Thioredoxin domain-containing protein 12 OS=Homo sapiens GN=TXNDC12 PE=1 SV=1;19 kDa;;2;3;0;
O95897;Noelin-2 OS=Homo sapiens GN=OLFM2 PE=2 SV=2;51 kDa;;10;7;1;Yes
O95965;Integrin beta-like protein 1 OS=Homo sapiens GN=ITGBL1 PE=2 SV=1;54 kDa;;14;8;;
O95967;EGF-containing fibulin-like extracellular matrix protein 2 OS=Homo sapiens GN=EFEMP2 PE=1 SV=3;49 kDa;;10;13;5;Yes
O95970;Leucine-rich glioma-inactivated protein 1 OS=Homo sapiens GN=LGI1 PE=1 SV=1;64 kDa;;10;7;;Yes
O95980;Reversion-inducing cysteine-rich protein with Kazal motifs OS=Homo sapiens GN=RECK PE=1 SV=1;106 kDa;;12;9;0;Yes
O95989;Diphosphoinositol polyphosphate phosphohydrolase 1 OS=Homo sapiens GN=NUDT3 PE=1 SV=1;19 kDa;TRUE;2;2;;
O95998;Interleukin-18-binding protein OS=Homo sapiens GN=IL18BP PE=1 SV=2;21 kDa;;5;3;;
P00325;Cluster of Alcohol dehydrogenase 1B OS=Homo sapiens GN=ADH1B PE=1 SV=2 (P00325);40 kDa;TRUE;5;5;1;
P00352;Cluster of Retinal dehydrogenase 1 OS=Homo sapiens GN=ALDH1A1 PE=1 SV=2 (P00352);55 kDa;TRUE;19;7;8;
P00390;Glutathione reductase, mitochondrial OS=Homo sapiens GN=GSR PE=1 SV=2;56 kDa;;12;6;3;Yes
P00441;Superoxide dismutase [Cu-Zn] OS=Homo sapiens GN=SOD1 PE=1 SV=2;16 kDa;;12;16;0;Yes
P00450;Ceruloplasmin OS=Homo sapiens GN=CP PE=1 SV=1;122 kDa;;61;60;8;Yes
P00488;Coagulation factor XIII A chain OS=Homo sapiens GN=F13A1 PE=1 SV=4;83 kDa;TRUE;14;8;0;
P00491;Purine nucleoside phosphorylase OS=Homo sapiens GN=PNP PE=1 SV=2;32 kDa;TRUE;2;;;
P00492;Hypoxanthine-guanine phosphoribosyltransferase OS=Homo sapiens GN=HPRT1 PE=1 SV=2;25 kDa;TRUE;11;7;2;Yes
P00505;Aspartate aminotransferase, mitochondrial OS=Homo sapiens GN=GOT2 PE=1 SV=3;48 kDa;;20;2;1;Yes
P00533;Epidermal growth factor receptor OS=Homo sapiens GN=EGFR PE=1 SV=2;134 kDa;TRUE;21;16;;Yes
P00558;Cluster of Phosphoglycerate kinase 1 OS=Homo sapiens GN=PGK1 PE=1 SV=3 (P00558);45 kDa;TRUE;23;23;0;
P00568;Adenylate kinase isoenzyme 1 OS=Homo sapiens GN=AK1 PE=1 SV=3;22 kDa;TRUE;7;4;;
P00734;Prothrombin OS=Homo sapiens GN=F2 PE=1 SV=2;70 kDa;;40;44;21;Yes
P00736;Complement C1r subcomponent OS=Homo sapiens GN=C1R PE=1 SV=2;80 kDa;TRUE;31;37;19;Yes
P00738;Cluster of Haptoglobin OS=Homo sapiens GN=HP PE=1 SV=1 (P00738);45 kDa;TRUE;9;39;29;Yes
P00740;Coagulation factor IX OS=Homo sapiens GN=F9 PE=1 SV=2;52 kDa;TRUE;14;11;1;Yes
P00742;Coagulation factor X OS=Homo sapiens GN=F10 PE=1 SV=2;55 kDa;TRUE;17;14;2;Yes
P00746;Complement factor D OS=Homo sapiens GN=CFD PE=1 SV=5;27 kDa;;13;8;0;Yes
P00747;Cluster of Plasminogen OS=Homo sapiens GN=PLG PE=1 SV=2 (P00747);91 kDa;TRUE;60;63;34;Yes
P00748;Coagulation factor XII OS=Homo sapiens GN=F12 PE=1 SV=3;68 kDa;;21;13;8;Yes
P00750;Tissue-type plasminogen activator OS=Homo sapiens GN=PLAT PE=1 SV=1;63 kDa;;2;1;;
P00751;Complement factor B OS=Homo sapiens GN=CFB PE=1 SV=2;86 kDa;;47;43;8;Yes
P00813;Adenosine deaminase OS=Homo sapiens GN=ADA PE=1 SV=3;41 kDa;;4;;;
P00915;Carbonic anhydrase 1 OS=Homo sapiens GN=CA1 PE=1 SV=2;29 kDa;;9;7;;Yes
P00918;Carbonic anhydrase 2 OS=Homo sapiens GN=CA2 PE=1 SV=2;29 kDa;;5;3;;Yes
P01008;Antithrombin-III OS=Homo sapiens GN=SERPINC1 PE=1 SV=1;53 kDa;;32;34;18;Yes
P01009;Alpha-1-antitrypsin OS=Homo sapiens GN=SERPINA1 PE=1 SV=3;47 kDa;TRUE;16;50;36;Yes
P01011;Alpha-1-antichymotrypsin OS=Homo sapiens GN=SERPINA3 PE=1 SV=2;48 kDa;;26;26;11;Yes
P01019;Angiotensinogen OS=Homo sapiens GN=AGT PE=1 SV=1;53 kDa;;23;22;10;Yes
P01023;Alpha-2-macroglobulin OS=Homo sapiens GN=A2M PE=1 SV=3;163 kDa;TRUE;34;84;62;Yes
P01024;Complement C3 OS=Homo sapiens GN=C3 PE=1 SV=2;187 kDa;TRUE;81;150;106;Yes
P01031;Complement C5 OS=Homo sapiens GN=C5 PE=1 SV=4;188 kDa;;72;57;18;Yes
P01033;Metalloproteinase inhibitor 1 OS=Homo sapiens GN=TIMP1 PE=1 SV=1;23 kDa;;9;9;1;Yes
P01034;Cystatin-C OS=Homo sapiens GN=CST3 PE=1 SV=1;16 kDa;;12;17;6;Yes
P01037;Cystatin-SN OS=Homo sapiens GN=CST1 PE=1 SV=3;16 kDa;TRUE;4;3;;
P01042;Kininogen-1 OS=Homo sapiens GN=KNG1 PE=1 SV=2;72 kDa;;31;36;17;Yes
P01127;Platelet-derived growth factor subunit B OS=Homo sapiens GN=PDGFB PE=1 SV=1;27 kDa;;2;2;;Yes
P01130;Low-density lipoprotein receptor OS=Homo sapiens GN=LDLR PE=1 SV=1;95 kDa;TRUE;18;8;0;
P01133;Pro-epidermal growth factor OS=Homo sapiens GN=EGF PE=1 SV=2;134 kDa;;2;0;;
P01137;Transforming growth factor beta-1 OS=Homo sapiens GN=TGFB1 PE=1 SV=2;44 kDa;;4;0;;
P01148;Progonadoliberin-1 OS=Homo sapiens GN=GNRH1 PE=1 SV=1;10 kDa;;2;1;;
P01178;Oxytocin-neurophysin 1 OS=Homo sapiens GN=OXT PE=1 SV=1;13 kDa;TRUE;3;3;;
P01185;Vasopressin-neurophysin 2-copeptin OS=Homo sapiens GN=AVP PE=1 SV=2;17 kDa;TRUE;4;3;;
P01189;Pro-opiomelanocortin OS=Homo sapiens GN=POMC PE=1 SV=2;29 kDa;;3;1;1;
P01210;Proenkephalin-A OS=Homo sapiens GN=PENK PE=1 SV=1;31 kDa;;9;11;1;Yes
P01213;Proenkephalin-B OS=Homo sapiens GN=PDYN PE=1 SV=1;28 kDa;;8;6;;Yes
P01225;Follitropin subunit beta OS=Homo sapiens GN=FSHB PE=1 SV=2;15 kDa;;2;;;
P01236;Prolactin OS=Homo sapiens GN=PRL PE=1 SV=1;26 kDa;;11;4;0;Yes
P01258;Cluster of Calcitonin OS=Homo sapiens GN=CALCA PE=1 SV=2 (P01258);15 kDa;TRUE;2;1;;Yes
P01282;VIP peptides OS=Homo sapiens GN=VIP PE=1 SV=1;19 kDa;;3;1;0;
P01303;Pro-neuropeptide Y OS=Homo sapiens GN=NPY PE=1 SV=1;11 kDa;;2;2;;Yes
P01344;Insulin-like growth factor II OS=Homo sapiens GN=IGF2 PE=1 SV=1;20 kDa;TRUE;5;9;1;Yes
P01591;Immunoglobulin J chain OS=Homo sapiens GN=IGJ PE=1 SV=4;18 kDa;;3;6;4;Yes
P01593;Ig kappa chain V-I region AG OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;5;5;
P01594;Ig kappa chain V-I region AU OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;2;4;
P01596;Ig kappa chain V-I region CAR OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;3;3;Yes
P01597;Ig kappa chain V-I region DEE OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;1;2;
P01598;Ig kappa chain V-I region EU OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;2;3;
P01599;Ig kappa chain V-I region Gal OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;3;4;
P01601;Ig kappa chain V-I region HK101 (Fragment) OS=Homo sapiens PE=4 SV=1;13 kDa;TRUE;;1;2;
P01602;Ig kappa chain V-I region HK102 (Fragment) OS=Homo sapiens GN=IGKV1-5 PE=4 SV=1;13 kDa;TRUE;;1;3;
P01603;Ig kappa chain V-I region Ka OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;0;5;4;
P01604;Ig kappa chain V-I region Kue OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;3;2;
P01605;Ig kappa chain V-I region Lay OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;3;3;Yes
P01607;Ig kappa chain V-I region Rei OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;1;2;
P01608;Ig kappa chain V-I region Roy OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;0;3;4;
P01609;Ig kappa chain V-I region Scw OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;2;3;
P01610;Cluster of Ig kappa chain V-I region WEA OS=Homo sapiens PE=1 SV=1 (P01610);12 kDa;TRUE;;3;5;
P01611;Ig kappa chain V-I region Wes OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;2;2;Yes
P01612;Ig kappa chain V-I region Mev OS=Homo sapiens PE=1 SV=1;12 kDa;;;2;2;Yes
P01613;Ig kappa chain V-I region Ni OS=Homo sapiens PE=1 SV=1;12 kDa;;;3;3;Yes
P01615;Ig kappa chain V-II region FR OS=Homo sapiens PE=1 SV=1;13 kDa;;;3;2;
P01617;Cluster of Ig kappa chain V-II region TEW OS=Homo sapiens PE=1 SV=1 (P01617);12 kDa;TRUE;;6;6;Yes
P01619;Ig kappa chain V-III region B6 OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;4;3;
P01621;Ig kappa chain V-III region NG9 (Fragment) OS=Homo sapiens PE=1 SV=1;11 kDa;TRUE;1;4;4;Yes
P01622;Cluster of Ig kappa chain V-III region Ti OS=Homo sapiens PE=1 SV=1 (P01622);12 kDa;TRUE;2;12;12;Yes
P01625;Cluster of Ig kappa chain V-IV region Len OS=Homo sapiens PE=1 SV=2 (P01625);13 kDa;TRUE;;5;4;
P01699;Ig lambda chain V-I region VOR OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;3;2;
P01700;Ig lambda chain V-I region HA OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;1;4;5;
P01701;Ig lambda chain V-I region NEW OS=Homo sapiens PE=1 SV=1;11 kDa;TRUE;;4;4;
P01702;Ig lambda chain V-I region NIG-64 OS=Homo sapiens PE=1 SV=1;11 kDa;TRUE;;3;2;
P01703;Ig lambda chain V-I region NEWM OS=Homo sapiens PE=1 SV=1;11 kDa;;;2;3;
P01707;Ig lambda chain V-II region TRO OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;3;3;
P01709;Ig lambda chain V-II region MGC OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;2;2;
P01712;Ig lambda chain V-II region WIN OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;2;2;
P01714;Ig lambda chain V-III region SH OS=Homo sapiens PE=1 SV=1;11 kDa;;;3;2;
P01717;Ig lambda chain V-IV region Hil OS=Homo sapiens PE=1 SV=1;12 kDa;;;2;2;
P01719;Ig lambda chain V-V region DEL OS=Homo sapiens PE=1 SV=1;11 kDa;;;3;2;Yes
P01732;T-cell surface glycoprotein CD8 alpha chain OS=Homo sapiens GN=CD8A PE=1 SV=1;26 kDa;;3;;;
P01743;Ig heavy chain V-I region HG3 OS=Homo sapiens PE=4 SV=1;13 kDa;TRUE;;2;4;
P01761;Cluster of Ig heavy chain V-I region SIE OS=Homo sapiens PE=1 SV=1 (P01761);14 kDa;TRUE;;2;3;
P01762;Ig heavy chain V-III region TRO OS=Homo sapiens PE=1 SV=1;13 kDa;TRUE;;1;2;
P01763;Ig heavy chain V-III region WEA OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;2;2;Yes
P01764;Ig heavy chain V-III region VH26 OS=Homo sapiens PE=1 SV=1;13 kDa;TRUE;;3;3;
P01765;Ig heavy chain V-III region TIL OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;3;2;
P01766;Cluster of Ig heavy chain V-III region BRO OS=Homo sapiens PE=1 SV=1 (P01766);13 kDa;TRUE;;3;3;
P01767;Ig heavy chain V-III region BUT OS=Homo sapiens PE=1 SV=1;12 kDa;TRUE;;1;2;Yes
P01770;Ig heavy chain V-III region NIE OS=Homo sapiens PE=1 SV=1;13 kDa;TRUE;;1;3;
P01771;Ig heavy chain V-III region HIL OS=Homo sapiens PE=1 SV=1;14 kDa;TRUE;;1;2;
P01773;Ig heavy chain V-III region BUR OS=Homo sapiens PE=1 SV=1;13 kDa;TRUE;;1;2;
P01775;Cluster of Ig heavy chain V-III region LAY OS=Homo sapiens PE=1 SV=1 (P01775);13 kDa;TRUE;;4;4;
P01781;Cluster of Ig heavy chain V-III region GAL OS=Homo sapiens PE=1 SV=1 (P01781);13 kDa;TRUE;;7;6;Yes
P01824;Ig heavy chain V-II region WAH OS=Homo sapiens PE=1 SV=1;14 kDa;;;2;2;
P01825;Ig heavy chain V-II region NEWM OS=Homo sapiens PE=1 SV=1;13 kDa;TRUE;;2;2;
P01833;Polymeric immunoglobulin receptor OS=Homo sapiens GN=PIGR PE=1 SV=4;83 kDa;;1;5;4;Yes
P01834;Ig kappa chain C region OS=Homo sapiens GN=IGKC PE=1 SV=1;12 kDa;;5;10;7;
P01857;Ig gamma-1 chain C region OS=Homo sapiens GN=IGHG1 PE=1 SV=1;36 kDa;TRUE;11;24;23;
P01859;Ig gamma-2 chain C region OS=Homo sapiens GN=IGHG2 PE=1 SV=2;36 kDa;TRUE;9;29;20;
P01860;Ig gamma-3 chain C region OS=Homo sapiens GN=IGHG3 PE=1 SV=2;41 kDa;TRUE;7;26;17;
P01861;Ig gamma-4 chain C region OS=Homo sapiens GN=IGHG4 PE=1 SV=1;36 kDa;TRUE;4;22;14;
P01871;Cluster of Ig mu chain C region OS=Homo sapiens GN=IGHM PE=1 SV=3 (P01871);49 kDa;TRUE;4;17;15;
P01876;Cluster of Ig alpha-1 chain C region OS=Homo sapiens GN=IGHA1 PE=1 SV=2 (P01876);38 kDa;TRUE;5;27;17;
P01880;Ig delta chain C region OS=Homo sapiens GN=IGHD PE=1 SV=2;42 kDa;;;6;10;Yes
P01903;Cluster of HLA class II histocompatibility antigen, DR alpha chain OS=Homo sapiens GN=HLA-DRA PE=1 SV=1 (P01903);29 kDa;TRUE;6;1;;
P01920;HLA class II histocompatibility antigen, DQ beta 1 chain OS=Homo sapiens GN=HLA-DQB1 PE=1 SV=2;30 kDa;;2;;;
P02144;Myoglobin OS=Homo sapiens GN=MB PE=1 SV=2;17 kDa;;6;6;2;Yes
P02452;Collagen alpha-1(I) chain OS=Homo sapiens GN=COL1A1 PE=1 SV=5;139 kDa;TRUE;25;18;0;Yes
P02461;Collagen alpha-1(III) chain OS=Homo sapiens GN=COL3A1 PE=1 SV=4;139 kDa;TRUE;12;13;;Yes
P02462;Collagen alpha-1(IV) chain OS=Homo sapiens GN=COL4A1 PE=1 SV=3;161 kDa;TRUE;2;3;;
P02647;Apolipoprotein A-I OS=Homo sapiens GN=APOA1 PE=1 SV=1;31 kDa;;11;50;35;
P02649;Apolipoprotein E OS=Homo sapiens GN=APOE PE=1 SV=1;36 kDa;;34;48;26;Yes
P02652;Apolipoprotein A-II OS=Homo sapiens GN=APOA2 PE=1 SV=1;11 kDa;;6;10;5;Yes
P02654;Apolipoprotein C-I OS=Homo sapiens GN=APOC1 PE=1 SV=1;9 kDa;;3;5;4;Yes
P02655;Apolipoprotein C-II OS=Homo sapiens GN=APOC2 PE=1 SV=1;11 kDa;;1;2;;Yes
P02656;Apolipoprotein C-III OS=Homo sapiens GN=APOC3 PE=1 SV=1;11 kDa;;2;5;2;Yes
P02671;Fibrinogen alpha chain OS=Homo sapiens GN=FGA PE=1 SV=2;95 kDa;TRUE;31;43;15;Yes
P02675;Fibrinogen beta chain OS=Homo sapiens GN=FGB PE=1 SV=2;56 kDa;;33;39;24;Yes
P02679;Fibrinogen gamma chain OS=Homo sapiens GN=FGG PE=1 SV=3;52 kDa;;28;22;22;Yes
P02689;Myelin P2 protein OS=Homo sapiens GN=PMP2 PE=1 SV=3;15 kDa;TRUE;2;1;;
P02741;C-reactive protein OS=Homo sapiens GN=CRP PE=1 SV=1;25 kDa;;6;2;;Yes
P02743;Serum amyloid P-component OS=Homo sapiens GN=APCS PE=1 SV=2;25 kDa;;6;2;0;Yes
P02745;Complement C1q subcomponent subunit A OS=Homo sapiens GN=C1QA PE=1 SV=2;26 kDa;;7;5;1;Yes
P02746;Complement C1q subcomponent subunit B OS=Homo sapiens GN=C1QB PE=1 SV=3;27 kDa;;7;7;4;Yes
P02747;Complement C1q subcomponent subunit C OS=Homo sapiens GN=C1QC PE=1 SV=3;26 kDa;;7;6;4;Yes
P02748;Complement component C9 OS=Homo sapiens GN=C9 PE=1 SV=2;63 kDa;TRUE;30;31;12;Yes
P02749;Beta-2-glycoprotein 1 OS=Homo sapiens GN=APOH PE=1 SV=3;38 kDa;;23;21;9;Yes
P02750;Leucine-rich alpha-2-glycoprotein OS=Homo sapiens GN=LRG1 PE=1 SV=2;38 kDa;;11;13;11;Yes
P02751;Fibronectin OS=Homo sapiens GN=FN1 PE=1 SV=4;263 kDa;;100;105;52;
P02753;Retinol-binding protein 4 OS=Homo sapiens GN=RBP4 PE=1 SV=3;23 kDa;;13;15;3;Yes
P02760;Protein AMBP OS=Homo sapiens GN=AMBP PE=1 SV=1;39 kDa;;14;22;11;Yes
P02763;Alpha-1-acid glycoprotein 1 OS=Homo sapiens GN=ORM1 PE=1 SV=1;24 kDa;TRUE;5;15;10;Yes
P02765;Alpha-2-HS-glycoprotein OS=Homo sapiens GN=AHSG PE=1 SV=1;39 kDa;;17;18;5;Yes
P02766;Transthyretin OS=Homo sapiens GN=TTR PE=1 SV=1;16 kDa;;9;12;12;Yes
P02768;Serum albumin OS=Homo sapiens GN=ALB PE=1 SV=2;69 kDa;;51;129;98;Yes
P02774;Vitamin D-binding protein OS=Homo sapiens GN=GC PE=1 SV=1;53 kDa;;37;47;23;Yes
P02778;C-X-C motif chemokine 10 OS=Homo sapiens GN=CXCL10 PE=1 SV=2;11 kDa;;2;1;;
P02786;Transferrin receptor protein 1 OS=Homo sapiens GN=TFRC PE=1 SV=2;85 kDa;;15;14;11;
P02787;Serotransferrin OS=Homo sapiens GN=TF PE=1 SV=3;77 kDa;TRUE;32;117;75;Yes
P02788;Lactotransferrin OS=Homo sapiens GN=LTF PE=1 SV=6;78 kDa;;17;8;7;Yes
P02790;Hemopexin OS=Homo sapiens GN=HPX PE=1 SV=2;52 kDa;;41;37;20;Yes
P02792;Ferritin light chain OS=Homo sapiens GN=FTL PE=1 SV=2;20 kDa;;5;2;2;
P02794;Ferritin heavy chain OS=Homo sapiens GN=FTH1 PE=1 SV=2;21 kDa;;7;6;4;
P02795;Metallothionein-2 OS=Homo sapiens GN=MT2A PE=1 SV=1;6 kDa;;2;1;;
P03950;Angiogenin OS=Homo sapiens GN=ANG PE=1 SV=1;17 kDa;;8;7;1;
P03951;Coagulation factor XI OS=Homo sapiens GN=F11 PE=1 SV=1;70 kDa;;15;11;;Yes
P03952;Plasma kallikrein OS=Homo sapiens GN=KLKB1 PE=1 SV=1;71 kDa;;30;25;17;Yes
P03973;Antileukoproteinase OS=Homo sapiens GN=SLPI PE=1 SV=2;14 kDa;;4;2;;
P04003;C4b-binding protein alpha chain OS=Homo sapiens GN=C4BPA PE=1 SV=2;67 kDa;;19;12;15;Yes
P04004;Vitronectin OS=Homo sapiens GN=VTN PE=1 SV=1;54 kDa;TRUE;16;17;10;Yes
P04040;Catalase OS=Homo sapiens GN=CAT PE=1 SV=3;60 kDa;;13;2;1;Yes
P04062;Glucosylceramidase OS=Homo sapiens GN=GBA PE=1 SV=3;60 kDa;;8;6;2;
P04066;Tissue alpha-L-fucosidase OS=Homo sapiens GN=FUCA1 PE=1 SV=4;54 kDa;;11;8;1;Yes
