"CSF-PR / CSF GEL DEPLETED FRACTION / Proteins / "
"","PI","Accession","Other Protein(s)","Description","CHROMOSOME","Gene Name","Coverage(%)","Non Enzymatic Peptides","#Peptides","#Spectra","NSAF","RANK (NSAF)","MW","Confidence","Spectrum Lower Range","Spectrum Upper Range","Peptide Lower Range","Peptide Upper Range","Validated"
143.00,"SINGLE PROTEIN","O00462",""," Beta-mannosidase (MANBA_HUMAN)","4","MANBA",39.48,"true",35.00,130.00,0.03,456.00,100.83,100.00,,,,,"true"
144.00,"SINGLE PROTEIN","P55268",""," Laminin subunit beta-2 (LAMB2_HUMAN)","3","LAMB2",22.19,"true",35.00,82.00,0.01,1062.00,195.85,100.00,,,,,"true"
145.00,"SINGLE PROTEIN","P55058",""," Phospholipid transfer protein (PLTP_HUMAN)","20","PLTP",40.16,"true",35.00,275.00,0.15,103.00,54.70,100.00,,,,,"true"
146.00,"SINGLE PROTEIN","Q99574",""," Neuroserpin (NEUS_HUMAN)","3","SERPINI1",61.46,"true",35.00,222.00,0.09,195.00,46.40,100.00,,,,,"true"
147.00,"SINGLE PROTEIN","Q92673",""," Sortilin-related receptor (SORL_HUMAN)","11","SORL1",17.75,"false",34.00,58.00,0.00,2034.00,248.27,100.00,,,,,"true"
148.00,"SINGLE PROTEIN","Q14118",""," Dystroglycan (DAG1_HUMAN)","3","DAG1",25.36,"true",34.00,280.00,0.09,177.00,97.38,100.00,,,,,"true"
149.00,"SINGLE PROTEIN","P04196",""," Histidine-rich glycoprotein (HRG_HUMAN)","3","HRG",51.05,"true",34.00,523.00,0.29,53.00,59.54,100.00,,,,,"true"
150.00,"SINGLE PROTEIN","Q96KG7",""," Multiple epidermal growth factor-like domains protein 10 (MEG10_HUMAN)","5","MEGF10",26.84,"true",34.00,157.00,0.02,708.00,122.12,100.00,,,,,"true"
151.00,"SINGLE PROTEIN","P05156",""," Complement factor I (CFAI_HUMAN)","4","CFI",43.22,"true",34.00,252.00,0.09,186.00,65.71,100.00,,,,,"true"
152.00,"SINGLE PROTEIN","P26038",""," Moesin (MOES_HUMAN)","X","MSN",47.49,"false",33.00,80.00,0.01,1021.00,67.78,100.00,,,,,"true"
153.00,"SINGLE PROTEIN","P63261",""," Actin, cytoplasmic 2 (ACTG_HUMAN)","17","ACTG1",61.87,"true",33.00,148.00,0.02,755.00,41.77,100.00,,,,,"true"
154.00,"SINGLE PROTEIN","P13521",""," Secretogranin-2 (SCG2_HUMAN)","2","SCG2",33.87,"true",33.00,146.00,0.04,437.00,70.90,100.00,,,,,"true"
155.00,"SINGLE PROTEIN","Q92520",""," Protein FAM3C (FAM3C_HUMAN)","7","FAM3C",73.57,"true",33.00,181.00,0.09,179.00,24.66,100.00,,,,,"true"
156.00,"SINGLE PROTEIN","P60709",""," Actin, cytoplasmic 1 (ACTB_HUMAN)","7","ACTB",61.87,"true",33.00,151.00,0.03,550.00,41.71,100.00,,,,,"true"
157.00,"SINGLE PROTEIN","P23471",""," Receptor-type tyrosine-protein phosphatase zeta (PTPRZ_HUMAN)","7","PTPRZ1",11.45,"true",33.00,490.00,0.07,246.00,254.43,100.00,,,,,"true"
158.00,"SINGLE PROTEIN","P09972",""," Fructose-bisphosphate aldolase C (ALDOC_HUMAN)","17","ALDOC",68.96,"true",33.00,159.00,0.09,180.00,39.43,100.00,,,,,"true"
159.00,"SINGLE PROTEIN","P07225",""," Vitamin K-dependent protein S (PROS_HUMAN)","3","PROS1",43.64,"true",33.00,336.00,0.09,189.00,75.07,100.00,,,,,"true"
160.00,"SINGLE PROTEIN","P07357",""," Complement component C8 alpha chain (CO8A_HUMAN)","1","C8A",51.37,"true",33.00,119.00,0.03,479.00,65.12,100.00,,,,,"true"
161.00,"SINGLE PROTEIN","P07339",""," Cathepsin D (CATD_HUMAN)","11","CTSD",59.22,"true",33.00,199.00,0.11,157.00,44.52,100.00,,,,,"true"
162.00,"SINGLE PROTEIN","P31150",""," Rab GDP dissociation inhibitor alpha (GDIA_HUMAN)","X","GDI1",62.86,"false",33.00,98.00,0.02,562.00,50.55,100.00,,,,,"true"
163.00,"SINGLE PROTEIN","Q02818",""," Nucleobindin-1 (NUCB1_HUMAN)","19","NUCB1",66.59,"false",32.00,120.00,0.04,375.00,53.85,100.00,,,,,"true"
164.00,"SINGLE PROTEIN","P29622",""," Kallistatin (KAIN_HUMAN)","14","SERPINA4",62.30,"true",32.00,179.00,0.05,343.00,48.51,100.00,,,,,"true"
165.00,"SINGLE PROTEIN","Q9NZR2",""," Low-density lipoprotein receptor-related protein 1B (LRP1B_HUMAN)","2","LRP1B",7.05,"false",32.00,70.00,0.00,2513.00,515.16,100.00,,,,,"true"
166.00,"SINGLE PROTEIN","P08123",""," Collagen alpha-2(I) chain (CO1A2_HUMAN)","7","COL1A2",17.79,"true",32.00,230.00,0.02,652.00,129.24,100.00,,,,,"true"
167.00,"SINGLE PROTEIN","Q5VU97",""," VWFA and cache domain-containing protein 1 (CAHD1_HUMAN)","1","CACHD1",29.28,"true",32.00,90.00,0.01,827.00,142.20,100.00,,,,,"true"
168.00,"SINGLE PROTEIN","Q24JP5",""," Transmembrane protein 132A (T132A_HUMAN)","11","TMEM132A",37.15,"true",32.00,177.00,0.03,520.00,110.04,100.00,,,,,"true"
169.00,"SINGLE PROTEIN","P07358",""," Complement component C8 beta chain (CO8B_HUMAN)","1","C8B",50.59,"true",32.00,179.00,0.08,215.00,67.00,100.00,,,,,"true"
170.00,"SINGLE PROTEIN","Q9P0K1",""," Disintegrin and metalloproteinase domain-containing protein 22 (ADA22_HUMAN)","7","ADAM22",35.98,"true",32.00,136.00,0.04,360.00,100.37,100.00,,,,,"true"
171.00,"SINGLE PROTEIN","P04075",""," Fructose-bisphosphate aldolase A (ALDOA_HUMAN)","16","ALDOA",67.86,"true",32.00,133.00,0.06,257.00,39.40,100.00,,,,,"true"
172.00,"SINGLE PROTEIN","Q86VB7",""," Scavenger receptor cysteine-rich type 1 protein M130 (C163A_HUMAN)","12","CD163",31.23,"false",31.00,135.00,0.01,775.00,125.37,100.00,,,,,"true"
173.00,"SINGLE PROTEIN","P02452",""," Collagen alpha-1(I) chain (CO1A1_HUMAN)","17","COL1A1",18.37,"true",31.00,355.00,0.07,242.00,138.86,100.00,,,,,"true"
174.00,"SINGLE PROTEIN","Q8IWV2",""," Contactin-4 (CNTN4_HUMAN)","3","CNTN4",40.55,"true",31.00,83.00,0.02,589.00,113.38,100.00,,,,,"true"
175.00,"SINGLE PROTEIN","Q9UQ52",""," Contactin-6 (CNTN6_HUMAN)","3","CNTN6",40.86,"true",31.00,59.00,0.01,1027.00,113.89,100.00,,,,,"true"
176.00,"SINGLE PROTEIN","Q7Z3B1",""," Neuronal growth regulator 1 (NEGR1_HUMAN)","1","NEGR1",53.95,"true",31.00,302.00,0.23,66.00,38.69,100.00,,,,,"true"
177.00,"SINGLE PROTEIN","P33908",""," Mannosyl-oligosaccharide 1,2-alpha-mannosidase IA (MA1A1_HUMAN)","6","MAN1A1",36.45,"true",31.00,151.00,0.04,373.00,72.92,100.00,,,,,"true"
178.00,"SINGLE PROTEIN","P43121",""," Cell surface glycoprotein MUC18 (MUC18_HUMAN)","11","MCAM",47.37,"true",31.00,388.00,0.13,116.00,71.56,100.00,,,,,"true"
179.00,"SINGLE PROTEIN","P07858",""," Cathepsin B (CATB_HUMAN)","8","CTSB",57.52,"true",31.00,153.00,0.12,132.00,37.80,100.00,,,,,"true"
180.00,"SINGLE PROTEIN","Q9HCB6",""," Spondin-1 (SPON1_HUMAN)","11","SPON1",39.28,"true",30.00,107.00,0.02,643.00,90.91,100.00,,,,,"true"
181.00,"SINGLE PROTEIN","Q02809",""," Procollagen-lysine,2-oxoglutarate 5-dioxygenase 1 (PLOD1_HUMAN)","1","PLOD1",45.53,"true",30.00,83.00,0.02,748.00,83.50,100.00,,,,,"true"
182.00,"SINGLE PROTEIN","P02766",""," Transthyretin (TTHY_HUMAN)","18","TTR",83.67,"true",30.00,543.00,1.05,9.00,15.88,100.00,,,,,"true"
183.00,"SINGLE PROTEIN","P10451",""," Osteopontin (OSTP_HUMAN)","4","SPP1",57.01,"true",30.00,602.00,0.68,19.00,35.40,100.00,,,,,"true"
184.00,"SINGLE PROTEIN","Q14393",""," Growth arrest-specific protein 6 (GAS6_HUMAN)","13","GAS6",43.55,"true",30.00,74.00,0.01,930.00,79.63,100.00,,,,,"true"
185.00,"SINGLE PROTEIN","Q96PD5",""," N-acetylmuramoyl-L-alanine amidase (PGRP2_HUMAN)","19","PGLYRP2",64.93,"true",29.00,216.00,0.09,192.00,62.18,100.00,,,,,"true"
186.00,"SINGLE PROTEIN","P16870",""," Carboxypeptidase E (CBPE_HUMAN)","4","CPE",58.19,"true",29.00,239.00,0.10,171.00,53.12,100.00,,,,,"true"
187.00,"SINGLE PROTEIN","O94910",""," Adhesion G protein-coupled receptor L1 (AGRL1_HUMAN)","19","LPHN1",19.54,"false",29.00,211.00,0.02,622.00,162.61,100.00,,,,,"true"
188.00,"SINGLE PROTEIN","P14625",""," Endoplasmin (ENPL_HUMAN)","12","HSP90B1",41.97,"true",29.00,139.00,0.02,629.00,92.41,100.00,,,,,"true"
189.00,"SINGLE PROTEIN","P26927",""," Hepatocyte growth factor-like protein (HGFL_HUMAN)","3","MST1",45.57,"true",29.00,73.00,0.01,836.00,80.27,100.00,,,,,"true"
190.00,"SINGLE PROTEIN","P35442",""," Thrombospondin-2 (TSP2_HUMAN)","6","THBS2",25.60,"false",29.00,67.00,0.01,1229.00,129.91,100.00,,,,,"true"
191.00,"SINGLE PROTEIN","P08571",""," Monocyte differentiation antigen CD14 (CD14_HUMAN)","5","CD14",67.20,"true",29.00,304.00,0.29,54.00,40.05,100.00,,,,,"true"
192.00,"SINGLE PROTEIN","P43251",""," Biotinidase (BTD_HUMAN)","3","BTD",46.78,"true",29.00,229.00,0.10,169.00,61.09,100.00,,,,,"true"
193.00,"SINGLE PROTEIN","Q9HAR2",""," Latrophilin-3 (LPHN3_HUMAN)","4","LPHN3",18.94,"false",29.00,122.00,0.02,696.00,161.71,100.00,,,,,"true"
194.00,"SINGLE PROTEIN","P05543",""," Thyroxine-binding globulin (THBG_HUMAN)","X","SERPINA7",56.87,"true",29.00,185.00,0.07,227.00,46.29,100.00,,,,,"true"
195.00,"SINGLE PROTEIN","Q6UX73",""," UPF0764 protein C16orf89 (CP089_HUMAN)","16","C16ORF89",51.24,"true",29.00,158.00,0.07,233.00,45.36,100.00,,,,,"true"
196.00,"SINGLE PROTEIN","P20774",""," Mimecan (MIME_HUMAN)","9","OGN",63.42,"true",29.00,388.00,0.32,43.00,33.90,100.00,,,,,"true"
197.00,"SINGLE PROTEIN","Q6YHK3",""," CD109 antigen (CD109_HUMAN)","6","CD109",23.32,"false",28.00,100.00,0.01,789.00,161.59,100.00,,,,,"true"
198.00,"SINGLE PROTEIN","P54764",""," Ephrin type-A receptor 4 (EPHA4_HUMAN)","2","EPHA4",30.93,"true",28.00,284.00,0.06,294.00,109.79,100.00,,,,,"true"
199.00,"SINGLE PROTEIN","Q53EL9",""," Seizure protein 6 homolog (SEZ6_HUMAN)","17","SEZ6",29.88,"true",28.00,173.00,0.05,344.00,107.36,100.00,,,,,"true"
200.00,"SINGLE PROTEIN","Q8IZS8",""," Voltage-dependent calcium channel subunit alpha-2/delta-3 (CA2D3_HUMAN)","3","CACNA2D3",27.31,"false",28.00,59.00,0.01,1071.00,122.93,100.00,,,,,"true"
201.00,"SINGLE PROTEIN","P00738",""," Haptoglobin (HPT_HUMAN)","16","HP",51.97,"true",28.00,160.00,0.08,213.00,45.18,100.00,,,,,"true"
202.00,"SINGLE PROTEIN","P09104",""," Gamma-enolase (ENOG_HUMAN)","12","ENO2",69.35,"true",28.00,139.00,0.06,265.00,47.24,100.00,,,,,"true"
203.00,"SINGLE PROTEIN","Q8N3T6",""," Transmembrane protein 132C (T132C_HUMAN)","12","TMEM132C",28.52,"false",28.00,124.00,0.02,568.00,121.71,100.00,,,,,"true"
204.00,"SINGLE PROTEIN","Q14112",""," Nidogen-2 (NID2_HUMAN)","14","NID2",27.85,"true",28.00,94.00,0.02,605.00,151.16,100.00,,,,,"true"
205.00,"SINGLE PROTEIN","P04156",""," Major prion protein (PRIO_HUMAN)","20","PRNP",45.85,"true",28.00,307.00,0.67,20.00,27.64,100.00,,,,,"true"
206.00,"SINGLE PROTEIN","Q9NS98",""," Semaphorin-3G (SEM3G_HUMAN)","3","SEMA3G",46.42,"true",28.00,83.00,0.02,626.00,86.65,100.00,,,,,"true"
207.00,"SINGLE PROTEIN","P55786",""," Puromycin-sensitive aminopeptidase (PSA_HUMAN)","17","NPEPPS",32.21,"false",28.00,61.00,0.01,781.00,103.21,100.00,,,,,"true"
208.00,"SINGLE PROTEIN","Q15818",""," Neuronal pentraxin-1 (NPTX1_HUMAN)","17","NPTX1",53.47,"true",28.00,229.00,0.11,142.00,47.09,100.00,,,,,"true"
209.00,"SINGLE PROTEIN","Q9NX62",""," Inositol monophosphatase 3 (IMPA3_HUMAN)","8","IMPAD1",44.29,"true",27.00,103.00,0.06,267.00,38.66,100.00,,,,,"true"
210.00,"SINGLE PROTEIN","P40189",""," Interleukin-6 receptor subunit beta (IL6RB_HUMAN)","5","IL6ST",30.72,"true",27.00,209.00,0.05,303.00,103.47,100.00,,,,,"true"
211.00,"SINGLE PROTEIN","P15144",""," Aminopeptidase N (AMPN_HUMAN)","15","ANPEP",30.09,"false",27.00,46.00,0.01,1133.00,109.47,100.00,,,,,"true"
212.00,"SINGLE PROTEIN","Q8WUJ3",""," Cell migration-inducing and hyaluronan-binding protein (CEMIP_HUMAN)","15","KIAA1199",25.20,"false",27.00,58.00,0.00,1509.00,152.90,100.00,,,,,"true"
213.00,"SINGLE PROTEIN","P00558",""," Phosphoglycerate kinase 1 (PGK1_HUMAN)","X","PGK1",57.07,"false",27.00,78.00,0.01,796.00,44.59,100.00,,,,,"true"
214.00,"SINGLE PROTEIN","P19022",""," Cadherin-2 (CADH2_HUMAN)","18","CDH2",26.60,"true",27.00,246.00,0.06,266.00,99.75,100.00,,,,,"true"
215.00,"SINGLE PROTEIN","P06733",""," Alpha-enolase (ENOA_HUMAN)","1","ENO1",55.53,"true",27.00,89.00,0.03,500.00,47.14,100.00,,,,,"true"
216.00,"SINGLE PROTEIN","P54802",""," Alpha-N-acetylglucosaminidase (ANAG_HUMAN)","17","NAGLU",43.34,"true",26.00,124.00,0.05,350.00,82.21,100.00,,,,,"true"
217.00,"SINGLE PROTEIN","Q9NY47",""," Voltage-dependent calcium channel subunit alpha-2/delta-2 (CA2D2_HUMAN)","3","CACNA2D2",27.74,"true",26.00,61.00,0.01,950.00,129.74,100.00,,,,,"true"
218.00,"SINGLE PROTEIN","P02679",""," Fibrinogen gamma chain (FIBG_HUMAN)","4","FGG",56.51,"true",26.00,209.00,0.10,163.00,51.48,100.00,,,,,"true"
219.00,"SINGLE PROTEIN","Q06033",""," Inter-alpha-trypsin inhibitor heavy chain H3 (ITIH3_HUMAN)","3","ITIH3",27.98,"false",26.00,133.00,0.02,645.00,99.79,100.00,,,,,"true"
220.00,"SINGLE PROTEIN","P00748",""," Coagulation factor XII (FA12_HUMAN)","5","F12",43.58,"true",26.00,152.00,0.05,308.00,67.75,100.00,,,,,"true"
221.00,"SINGLE PROTEIN","Q16270",""," Insulin-like growth factor-binding protein 7 (IBP7_HUMAN)","4","IGFBP7",77.30,"true",26.00,312.00,0.32,42.00,29.11,100.00,,,,,"true"
222.00,"SINGLE PROTEIN","P21333",""," Filamin-A (FLNA_HUMAN)","X","FLNA",16.51,"false",26.00,50.00,0.00,1817.00,280.56,100.00,,,,,"true"
223.00,"SINGLE PROTEIN","Q6UVK1",""," Chondroitin sulfate proteoglycan 4 (CSPG4_HUMAN)","15","CSPG4",14.69,"false",26.00,100.00,0.01,961.00,250.38,100.00,,,,,"true"
224.00,"SINGLE PROTEIN","O60462",""," Neuropilin-2 (NRP2_HUMAN)","2","NRP2",26.85,"false",26.00,91.00,0.02,750.00,104.79,100.00,,,,,"true"
225.00,"SINGLE PROTEIN","Q8TEU8",""," WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 (WFKN2_HUMAN)","17","WFIKKN2",50.69,"true",26.00,137.00,0.04,389.00,63.90,100.00,,,,,"true"
226.00,"SINGLE PROTEIN","Q9P232",""," Contactin-3 (CNTN3_HUMAN)","3","CNTN3",31.42,"true",26.00,55.00,0.01,1046.00,112.81,100.00,,,,,"true"
227.00,"SINGLE PROTEIN","P05452",""," Tetranectin (TETN_HUMAN)","3","CLEC3B",62.38,"true",26.00,362.00,0.30,46.00,22.52,100.00,,,,,"true"
228.00,"SINGLE PROTEIN","P78324",""," Tyrosine-protein phosphatase non-receptor type substrate 1 (SHPS1_HUMAN)","20","SIRPA",48.41,"true",26.00,301.00,0.09,190.00,54.93,100.00,,,,,"true"
229.00,"SINGLE PROTEIN","P05160",""," Coagulation factor XIII B chain (F13B_HUMAN)","1","F13B",43.72,"true",26.00,60.00,0.01,903.00,75.46,100.00,,,,,"true"
230.00,"SINGLE PROTEIN","P16035",""," Metalloproteinase inhibitor 2 (TIMP2_HUMAN)","17","TIMP2",68.64,"true",26.00,76.00,0.05,354.00,24.38,100.00,,,,,"true"
231.00,"SINGLE PROTEIN","P24592",""," Insulin-like growth factor-binding protein 6 (IBP6_HUMAN)","12","IGFBP6",66.25,"true",25.00,245.00,0.35,39.00,25.31,100.00,,,,,"true"
232.00,"SINGLE PROTEIN","P01857",""," Ig gamma-1 chain C region (IGHG1_HUMAN)","14","IGHG1",66.67,"true",25.00,374.00,0.37,34.00,36.08,100.00,,,,,"true"
233.00,"SINGLE PROTEIN","P49747",""," Cartilage oligomeric matrix protein (COMP_HUMAN)","19","COMP",51.52,"true",25.00,73.00,0.02,634.00,82.81,100.00,,,,,"true"
234.00,"SINGLE PROTEIN","P36980",""," Complement factor H-related protein 2 (FHR2_HUMAN)","1","CFHR2",65.93,"true",25.00,134.00,0.13,122.00,30.63,100.00,,,,,"true"
235.00,"SINGLE PROTEIN","P07195",""," L-lactate dehydrogenase B chain (LDHB_HUMAN)","12","LDHB",47.90,"false",25.00,115.00,0.09,184.00,36.62,100.00,,,,,"true"
236.00,"SINGLE PROTEIN","P20062",""," Transcobalamin-2 (TCO2_HUMAN)","22","TCN2",57.38,"true",25.00,73.00,0.03,459.00,47.50,100.00,,,,,"true"
237.00,"SINGLE PROTEIN","Q03591",""," Complement factor H-related protein 1 (FHR1_HUMAN)","1","CFHR1",58.48,"true",25.00,256.00,0.06,253.00,37.63,100.00,,,,,"true"
238.00,"SINGLE PROTEIN","P07996",""," Thrombospondin-1 (TSP1_HUMAN)","15","THBS1",26.41,"true",25.00,81.00,0.01,791.00,129.30,100.00,,,,,"true"
239.00,"SINGLE PROTEIN","P42658",""," Dipeptidyl aminopeptidase-like protein 6 (DPP6_HUMAN)","7","DPP6",32.72,"true",24.00,80.00,0.01,785.00,97.53,100.00,,,,,"true"
240.00,"SINGLE PROTEIN","P50395",""," Rab GDP dissociation inhibitor beta (GDIB_HUMAN)","10","GDI2",60.90,"false",24.00,73.00,0.01,1055.00,50.63,100.00,,,,,"true"
241.00,"SINGLE PROTEIN","Q8NFP4",""," MAM domain-containing glycosylphosphatidylinositol anchor protein 1 (MDGA1_HUMAN)","6","MDGA1",31.94,"true",24.00,68.00,0.01,1049.00,105.72,100.00,,,,,"true"
242.00,"SINGLE PROTEIN","Q15113",""," Procollagen C-endopeptidase enhancer 1 (PCOC1_HUMAN)","7","PCOLCE",62.58,"true",24.00,147.00,0.08,205.00,47.94,100.00,,,,,"true"
243.00,"SINGLE PROTEIN","P07333",""," Macrophage colony-stimulating factor 1 receptor (CSF1R_HUMAN)","5","CSF1R",20.16,"true",24.00,273.00,0.08,206.00,107.92,100.00,,,,,"true"
244.00,"SINGLE PROTEIN","Q9NT99",""," Leucine-rich repeat-containing protein 4B (LRC4B_HUMAN)","19","LRRC4B",30.72,"true",24.00,252.00,0.11,146.00,76.39,100.00,,,,,"true"
245.00,"SINGLE PROTEIN","Q13228",""," Selenium-binding protein 1 (SBP1_HUMAN)","1","SELENBP1",51.91,"true",24.00,75.00,0.01,876.00,52.36,100.00,,,,,"true"
246.00,"SINGLE PROTEIN","P30101",""," Protein disulfide-isomerase A3 (PDIA3_HUMAN)","15","PDIA3",58.02,"true",24.00,75.00,0.02,739.00,56.75,100.00,,,,,"true"
247.00,"SINGLE PROTEIN","Q9Y5I4",""," Protocadherin alpha-C2 (PCDC2_HUMAN)","5","PCDHAC2",27.81,"false",23.00,80.00,0.02,640.00,109.38,100.00,,,,,"true"
248.00,"SINGLE PROTEIN","Q14982",""," Opioid-binding protein/cell adhesion molecule (OPCM_HUMAN)","11","OPCML",48.12,"true",23.00,207.00,0.21,74.00,37.98,100.00,,,,,"true"
249.00,"SINGLE PROTEIN","Q9HCK4",""," Roundabout homolog 2 (ROBO2_HUMAN)","3","ROBO2",20.17,"false",23.00,55.00,0.01,984.00,151.11,100.00,,,,,"true"
250.00,"SINGLE PROTEIN","O43556",""," Epsilon-sarcoglycan (SGCE_HUMAN)","7","SGCE",41.42,"true",23.00,75.00,0.06,278.00,49.82,100.00,,,,,"true"
251.00,"SINGLE PROTEIN","O94919",""," Endonuclease domain-containing 1 protein (ENDD1_HUMAN)","11","ENDOD1",41.60,"true",23.00,139.00,0.06,292.00,54.98,100.00,,,,,"true"
252.00,"SINGLE PROTEIN","P02753",""," Retinol-binding protein 4 (RET4_HUMAN)","10","RBP4",63.68,"true",23.00,237.00,0.50,25.00,23.00,100.00,,,,,"true"
253.00,"SINGLE PROTEIN","Q08629",""," Testican-1 (TICN1_HUMAN)","5","SPOCK1",45.33,"true",23.00,157.00,0.12,136.00,49.09,100.00,,,,,"true"
254.00,"SINGLE PROTEIN","P22304",""," Iduronate 2-sulfatase (IDS_HUMAN)","X","IDS",37.64,"true",23.00,134.00,0.09,181.00,61.83,100.00,,,,,"true"
255.00,"SINGLE PROTEIN","P09486",""," SPARC (SPRC_HUMAN)","5","SPARC",56.77,"true",23.00,284.00,0.36,36.00,34.61,100.00,,,,,"true"
256.00,"SINGLE PROTEIN","P55291",""," Cadherin-15 (CAD15_HUMAN)","16","CDH15",34.52,"true",23.00,50.00,0.02,628.00,88.86,100.00,,,,,"true"
257.00,"SINGLE PROTEIN","P18065",""," Insulin-like growth factor-binding protein 2 (IBP2_HUMAN)","2","IGFBP2",53.23,"true",23.00,295.00,0.31,44.00,34.79,100.00,,,,,"true"
258.00,"SINGLE PROTEIN","Q8N126",""," Cell adhesion molecule 3 (CADM3_HUMAN)","1","CADM3",48.24,"true",23.00,187.00,0.22,69.00,43.27,100.00,,,,,"true"
259.00,"SINGLE PROTEIN","Q9HAT2",""," Sialate O-acetylesterase (SIAE_HUMAN)","11","SIAE",48.18,"true",23.00,86.00,0.03,455.00,58.28,100.00,,,,,"true"
260.00,"SINGLE PROTEIN","P07998",""," Ribonuclease pancreatic (RNAS1_HUMAN)","14","RNASE1",60.26,"true",23.00,287.00,0.51,24.00,17.63,100.00,,,,,"true"
261.00,"SINGLE PROTEIN","Q8WVQ1",""," Soluble calcium-activated nucleotidase 1 (CANT1_HUMAN)","17","CANT1",52.62,"false",22.00,58.00,0.02,623.00,44.81,100.00,,,,,"true"
262.00,"SINGLE PROTEIN","Q14766",""," Latent-transforming growth factor beta-binding protein 1 (LTBP1_HUMAN)","2","LTBP1",15.86,"false",22.00,56.00,0.01,1195.00,186.67,100.00,,,,,"true"
263.00,"SINGLE PROTEIN","Q12841",""," Follistatin-related protein 1 (FSTL1_HUMAN)","3","FSTL1",62.99,"false",22.00,124.00,0.06,252.00,34.96,100.00,,,,,"true"
264.00,"SINGLE PROTEIN","Q9BYH1",""," Seizure 6-like protein (SE6L1_HUMAN)","22","SEZ6L",25.29,"true",22.00,120.00,0.04,414.00,111.71,100.00,,,,,"true"
265.00,"SINGLE PROTEIN","P14314",""," Glucosidase 2 subunit beta (GLU2B_HUMAN)","19","PRKCSH",34.28,"false",22.00,86.00,0.05,326.00,59.39,100.00,,,,,"true"
266.00,"SINGLE PROTEIN","Q9BY67",""," Cell adhesion molecule 1 (CADM1_HUMAN)","11","CADM1",40.95,"true",22.00,223.00,0.16,94.00,48.48,100.00,,,,,"true"
267.00,"SINGLE PROTEIN","Q9UMF0",""," Intercellular adhesion molecule 5 (ICAM5_HUMAN)","19","ICAM5",29.76,"true",22.00,100.00,0.03,538.00,97.06,100.00,,,,,"true"
268.00,"SINGLE PROTEIN","P02750",""," Leucine-rich alpha-2-glycoprotein (A2GL_HUMAN)","19","LRG1",54.76,"true",22.00,205.00,0.20,81.00,38.15,100.00,,,,,"true"
269.00,"SINGLE PROTEIN","Q12907",""," Vesicular integral-membrane protein VIP36 (LMAN2_HUMAN)","5","LMAN2",48.88,"true",22.00,142.00,0.07,225.00,40.20,100.00,,,,,"true"
270.00,"SINGLE PROTEIN","P01859",""," Ig gamma-2 chain C region (IGHG2_HUMAN)","14","IGHG2",60.74,"true",22.00,251.00,0.08,221.00,35.88,100.00,,,,,"true"
271.00,"SINGLE PROTEIN","P68133",""," Actin, alpha skeletal muscle (ACTS_HUMAN)","1","ACTA1",48.01,"true",22.00,97.00,0.01,1251.00,42.02,100.00,,,,,"true"
272.00,"SINGLE PROTEIN","O14773",""," Tripeptidyl-peptidase 1 (TPP1_HUMAN)","11","TPP1",49.20,"true",22.00,95.00,0.04,417.00,61.21,100.00,,,,,"true"
273.00,"SINGLE PROTEIN","P55290",""," Cadherin-13 (CAD13_HUMAN)","16","CDH13",25.53,"true",22.00,168.00,0.04,361.00,78.24,100.00,,,,,"true"
274.00,"SINGLE PROTEIN","O60568",""," Procollagen-lysine,2-oxoglutarate 5-dioxygenase 3 (PLOD3_HUMAN)","7","PLOD3",32.52,"false",22.00,51.00,0.01,992.00,84.73,100.00,,,,,"true"
275.00,"SINGLE PROTEIN","O00584",""," Ribonuclease T2 (RNT2_HUMAN)","6","RNASET2",72.66,"true",22.00,158.00,0.12,129.00,29.46,100.00,,,,,"true"
276.00,"SINGLE PROTEIN","Q86SR1",""," Polypeptide N-acetylgalactosaminyltransferase 10 (GLT10_HUMAN)","5","GALNT10",42.12,"false",22.00,67.00,0.01,1190.00,68.95,100.00,,,,,"true"
277.00,"SINGLE PROTEIN","Q14517",""," Protocadherin Fat 1 (FAT1_HUMAN)","4","FAT1",6.52,"false",22.00,44.00,0.00,2379.00,505.96,100.00,,,,,"true"
278.00,"SINGLE PROTEIN","Q6UX71",""," Plexin domain-containing protein 2 (PXDC2_HUMAN)","10","PLXDC2",31.57,"true",22.00,126.00,0.06,271.00,59.55,100.00,,,,,"true"
279.00,"SINGLE PROTEIN","Q9NPR2",""," Semaphorin-4B (SEM4B_HUMAN)","15","SEMA4B",26.68,"true",22.00,88.00,0.02,691.00,92.13,100.00,,,,,"true"
280.00,"SINGLE PROTEIN","Q96PX8",""," SLIT and NTRK-like protein 1 (SLIK1_HUMAN)","13","SLITRK1",27.01,"true",21.00,138.00,0.04,403.00,77.69,100.00,,,,,"true"
281.00,"SINGLE PROTEIN","P27797",""," Calreticulin (CALR_HUMAN)","19","CALR",53.72,"false",21.00,134.00,0.08,207.00,48.11,100.00,,,,,"true"
282.00,"SINGLE PROTEIN","Q01995",""," Transgelin (TAGL_HUMAN)","11","TAGLN",70.15,"true",21.00,89.00,0.04,387.00,22.60,100.00,,,,,"true"
283.00,"SINGLE PROTEIN","P48058",""," Glutamate receptor 4 (GRIA4_HUMAN)","11","GRIA4",19.96,"true",21.00,103.00,0.02,602.00,100.81,100.00,,,,,"true"
