Entry	Entry name	Status	Protein names	Gene names	Organism	Length	Site
Q9NQV8	PRDM8_HUMAN	reviewed	PR domain zinc finger protein 8 (EC 2.1.1.-) (PR domain-containing protein 8)	PRDM8 PFM5	Homo sapiens (Human)	689	
Q9Y5G3	PCDGD_HUMAN	reviewed	Protocadherin gamma-B1 (PCDH-gamma-B1)	PCDHGB1	Homo sapiens (Human)	927	
Q2NKQ1	SGSM1_HUMAN	reviewed	Small G protein signaling modulator 1 (RUN and TBC1 domain-containing protein 2)	SGSM1 KIAA1941 RUTBC2	Homo sapiens (Human)	1148	
Q8TEU8	WFKN2_HUMAN	reviewed	WAP, Kazal, immunoglobulin, Kunitz and NTR domain-containing protein 2 (Growth and differentiation factor-associated serum protein 1) (GASP-1) (hGASP-1) (WAP, follistatin, immunoglobulin, Kunitz and NTR domain-containing-related protein) (WFIKKN-related protein)	WFIKKN2 GASP1 WFIKKNRP UNQ9235/PRO31996	Homo sapiens (Human)	576	SITE 140..141;  /note="Reactive bond";  /evidence="ECO:0000255|PROSITE-ProRule:PRU00798"
O75324	SNN_HUMAN	reviewed	Stannin (AG8_1)	SNN	Homo sapiens (Human)	88	
Q99569	PKP4_HUMAN	reviewed	Plakophilin-4 (p0071)	PKP4	Homo sapiens (Human)	1192	
Q86SE5	RALYL_HUMAN	reviewed	RNA-binding Raly-like protein (hRALYL) (Heterogeneous nuclear ribonucleoprotein C-like 3) (hnRNP core protein C-like 3)	RALYL HNRPCL3	Homo sapiens (Human)	291	
Q13519	PNOC_HUMAN	reviewed	Prepronociceptin [Cleaved into: Nocistatin; Nociceptin (Orphanin FQ) (PPNOC); Orphanin FQ2]	PNOC OFQ	Homo sapiens (Human)	176	
P48546	GIPR_HUMAN	reviewed	Gastric inhibitory polypeptide receptor (GIP-R) (Glucose-dependent insulinotropic polypeptide receptor)	GIPR	Homo sapiens (Human)	466	
Q96P50	ACAP3_HUMAN	reviewed	Arf-GAP with coiled-coil, ANK repeat and PH domain-containing protein 3 (Centaurin-beta-5) (Cnt-b5)	ACAP3 CENTB5 KIAA1716	Homo sapiens (Human)	834	
Q9HBW1	LRRC4_HUMAN	reviewed	Leucine-rich repeat-containing protein 4 (Brain tumor-associated protein BAG) (Nasopharyngeal carcinoma-associated gene 14 protein) (Netrin-G2 ligand) (NGL-2)	LRRC4 BAG NAG14 UNQ554/PRO1111	Homo sapiens (Human)	653	
Q01101	INSM1_HUMAN	reviewed	Insulinoma-associated protein 1 (Zinc finger protein IA-1)	INSM1 IA1	Homo sapiens (Human)	510	
O14829	PPE1_HUMAN	reviewed	Serine/threonine-protein phosphatase with EF-hands 1 (PPEF-1) (EC 3.1.3.16) (Protein phosphatase with EF calcium-binding domain) (PPEF) (Serine/threonine-protein phosphatase 7) (PP7)	PPEF1 PPEF PPP7C	Homo sapiens (Human)	653	
P49802	RGS7_HUMAN	reviewed	Regulator of G-protein signaling 7 (RGS7)	RGS7	Homo sapiens (Human)	495	
Q9UGV2	NDRG3_HUMAN	reviewed	Protein NDRG3 (N-myc downstream-regulated gene 3 protein)	NDRG3	Homo sapiens (Human)	375	
Q6ZVL6	K154L_HUMAN	reviewed	UPF0606 protein KIAA1549L	KIAA1549L C11orf41 C11orf69	Homo sapiens (Human)	1849	
O94851	MICA2_HUMAN	reviewed	[F-actin]-monooxygenase MICAL2 (EC 1.14.13.225) (MICAL C-terminal-like protein) (Mical-cL) (Molecule interacting with CasL protein 2) (MICAL-2)	MICAL2 KIAA0750 MICAL2PV1 MICAL2PV2 MICALCL	Homo sapiens (Human)	1957	
Q8TBB6	S7A14_HUMAN	reviewed	Probable cationic amino acid transporter (Solute carrier family 7 member 14)	SLC7A14 KIAA1613	Homo sapiens (Human)	771	
P49418	AMPH_HUMAN	reviewed	Amphiphysin	AMPH AMPH1	Homo sapiens (Human)	695	
Q6NSI4	RADX_HUMAN	reviewed	RPA-related protein RADX (RPA-related and RAD51-antagonist, X-chromosome)	RADX CXorf57	Homo sapiens (Human)	855	
Q9Y2K3	MYH15_HUMAN	reviewed	Myosin-15 (Myosin heavy chain 15)	MYH15 KIAA1000	Homo sapiens (Human)	1946	
P28335	5HT2C_HUMAN	reviewed	5-hydroxytryptamine receptor 2C (5-HT-2C) (5-HT2C) (5-HTR2C) (5-hydroxytryptamine receptor 1C) (5-HT-1C) (5-HT1C) (Serotonin receptor 2C)	HTR2C HTR1C	Homo sapiens (Human)	458	
Q76NI1	KNDC1_HUMAN	reviewed	Kinase non-catalytic C-lobe domain-containing protein 1 (KIND domain-containing protein 1) (Cerebral protein 9) (Protein very KIND) (v-KIND) (Ras-GEF domain-containing family member 2)	KNDC1 C10orf23 KIAA1768 RASGEF2 VKIND hucep-9	Homo sapiens (Human)	1749	
Q9Y4J8	DTNA_HUMAN	reviewed	Dystrobrevin alpha (DTN-A) (Alpha-dystrobrevin) (Dystrophin-related protein 3)	DTNA DRP3	Homo sapiens (Human)	743	
C9J442	CV046_HUMAN	reviewed	Uncharacterized protein C22orf46	C22orf46	Homo sapiens (Human)	243	
A6NHN0	OTOL1_HUMAN	reviewed	Otolin-1	OTOL1	Homo sapiens (Human)	477	
Q13491	GPM6B_HUMAN	reviewed	Neuronal membrane glycoprotein M6-b (M6b)	GPM6B M6B	Homo sapiens (Human)	265	
Q9BZM3	GSX2_HUMAN	reviewed	GS homeobox 2 (Genetic-screened homeobox 2) (Homeobox protein GSH-2)	GSX2 GSH2	Homo sapiens (Human)	304	
Q8IWQ3	BRSK2_HUMAN	reviewed	Serine/threonine-protein kinase BRSK2 (EC 2.7.11.1) (Brain-selective kinase 2) (EC 2.7.11.26) (Brain-specific serine/threonine-protein kinase 2) (BR serine/threonine-protein kinase 2) (Serine/threonine-protein kinase 29) (Serine/threonine-protein kinase SAD-A)	BRSK2 C11orf7 PEN11B SADA STK29 HUSSY-12	Homo sapiens (Human)	736	
Q9UBL0	ARP21_HUMAN	reviewed	cAMP-regulated phosphoprotein 21 (ARPP-21) (Thymocyte cAMP-regulated phosphoprotein)	ARPP21 TARPP	Homo sapiens (Human)	812	
Q6PUV4	CPLX2_HUMAN	reviewed	Complexin-2 (Complexin II) (CPX II) (Synaphin-1)	CPLX2	Homo sapiens (Human)	134	
Q14831	GRM7_HUMAN	reviewed	Metabotropic glutamate receptor 7 (mGluR7)	GRM7 GPRC1G MGLUR7	Homo sapiens (Human)	915	
Q9BUW7	BBLN_HUMAN	reviewed	Bublin coiled-coil protein (UPF0184 protein C9orf16)	BBLN C9orf16 EST00098	Homo sapiens (Human)	83	
P0DMW4	SIL2A_HUMAN	reviewed	Small integral membrane protein 10-like protein 2A	SMIM10L2A LINC00086 NCRNA00086	Homo sapiens (Human)	78	
Q9NZR1	TMOD2_HUMAN	reviewed	Tropomodulin-2 (Neuronal tropomodulin) (N-Tmod)	TMOD2 NTMOD	Homo sapiens (Human)	351	
Q86V42	F124A_HUMAN	reviewed	Protein FAM124A	FAM124A	Homo sapiens (Human)	546	
Q8N9B8	RGF1A_HUMAN	reviewed	Ras-GEF domain-containing family member 1A	RASGEF1A	Homo sapiens (Human)	481	
Q7Z2K8	GRIN1_HUMAN	reviewed	G protein-regulated inducer of neurite outgrowth 1 (GRIN1)	GPRIN1 KIAA1893	Homo sapiens (Human)	1008	
Q8N398	VW5B2_HUMAN	reviewed	von Willebrand factor A domain-containing protein 5B2	VWA5B2	Homo sapiens (Human)	1242	
Q7Z5J1	DHI1L_HUMAN	reviewed	Hydroxysteroid 11-beta-dehydrogenase 1-like protein (EC 1.1.1.-) (11-beta-hydroxysteroid dehydrogenase type 3) (11-DH3) (11-beta-HSD3) (Short chain dehydrogenase/reductase family 26C member 2) (Short-chain dehydrogenase/reductase 10)	HSD11B1L HSD3 SCDR10 SDR26C2	Homo sapiens (Human)	315	
Q96JK4	HIPL1_HUMAN	reviewed	HHIP-like protein 1	HHIPL1 HHIP2 KIAA1822 UNQ9245/PRO34761	Homo sapiens (Human)	782	
Q8NAP1	CAST3_HUMAN	reviewed	Putative protein CASTOR 3 (STAG3 opposite strand transcript protein)	CASTOR3 GATS STAG3OS	Homo sapiens (Human)	163	
Q13009	TIAM1_HUMAN	reviewed	Rho guanine nucleotide exchange factor TIAM1 (T-lymphoma invasion and metastasis-inducing protein 1) (TIAM-1)	TIAM1	Homo sapiens (Human)	1591	
Q6V702	CF299_HUMAN	reviewed	Cilia- and flagella-associated protein 299	CFAP299 C4orf22	Homo sapiens (Human)	233	
P0DKB5	TPBGL_HUMAN	reviewed	Trophoblast glycoprotein-like	TPBGL	Homo sapiens (Human)	382	
Q9UBP4	DKK3_HUMAN	reviewed	Dickkopf-related protein 3 (Dickkopf-3) (Dkk-3) (hDkk-3)	DKK3 REIC UNQ258/PRO295	Homo sapiens (Human)	350	
Q6UXU4	GSG1L_HUMAN	reviewed	Germ cell-specific gene 1-like protein (GSG1-like protein)	GSG1L UNQ5831/PRO19651	Homo sapiens (Human)	331	
Q5JYT7	K1755_HUMAN	reviewed	Uncharacterized protein KIAA1755	KIAA1755	Homo sapiens (Human)	1200	
Q9Y5I0	PCDAD_HUMAN	reviewed	Protocadherin alpha-13 (PCDH-alpha-13)	PCDHA13 CNRS5	Homo sapiens (Human)	950	
O43916	CHST1_HUMAN	reviewed	Carbohydrate sulfotransferase 1 (Galactose/N-acetylglucosamine/N-acetylglucosamine 6-O-sulfotransferase 1) (GST-1) (Keratan sulfate Gal-6 sulfotransferase) (KS6ST) (KSGal6ST) (KSST) (EC 2.8.2.21)	CHST1	Homo sapiens (Human)	411	
O14842	FFAR1_HUMAN	reviewed	Free fatty acid receptor 1 (G-protein coupled receptor 40)	FFAR1 GPR40	Homo sapiens (Human)	300	SITE 145;  /note="Important for receptor activation";  /evidence="ECO:0000269|PubMed:19068482"; SITE 172;  /note="Important for receptor activation";  /evidence="ECO:0000269|PubMed:19068482"
Q05940	VMAT2_HUMAN	reviewed	Synaptic vesicular amine transporter (Monoamine transporter) (Solute carrier family 18 member 2) (Vesicular amine transporter 2) (VAT2)	SLC18A2 SVMT VMAT2	Homo sapiens (Human)	514	
Q92782	DPF1_HUMAN	reviewed	Zinc finger protein neuro-d4 (BRG1-associated factor 45B) (BAF45B) (D4, zinc and double PHD fingers family 1)	DPF1 BAF45B NEUD4	Homo sapiens (Human)	387	
Q5T319	F182B_HUMAN	reviewed	Protein FAM182B	FAM182B	Homo sapiens (Human)	152	
Q9Y342	PLLP_HUMAN	reviewed	Plasmolipin (Plasma membrane proteolipid)	PLLP PMLP TM4SF11	Homo sapiens (Human)	182	
Q5TAT6	CODA1_HUMAN	reviewed	Collagen alpha-1(XIII) chain (COLXIIIA1)	COL13A1	Homo sapiens (Human)	717	
Q16445	GBRA6_HUMAN	reviewed	Gamma-aminobutyric acid receptor subunit alpha-6 (GABA(A) receptor subunit alpha-6)	GABRA6	Homo sapiens (Human)	453	
Q9NP95	FGF20_HUMAN	reviewed	Fibroblast growth factor 20 (FGF-20)	FGF20	Homo sapiens (Human)	211	
O43151	TET3_HUMAN	reviewed	Methylcytosine dioxygenase TET3 (EC 1.14.11.n2)	TET3 KIAA0401	Homo sapiens (Human)	1795	
Q8IXN7	RIMKA_HUMAN	reviewed	N-acetylaspartylglutamate synthase A (NAAG synthetase A) (NAAGS) (EC 6.3.2.41) (N-acetylaspartylglutamylglutamate synthase A) (EC 6.3.2.42) (Ribosomal protein S6 modification-like protein A)	RIMKLA FAM80A	Homo sapiens (Human)	391	
Q7Z408	CSMD2_HUMAN	reviewed	CUB and sushi domain-containing protein 2 (CUB and sushi multiple domains protein 2)	CSMD2 KIAA1884	Homo sapiens (Human)	3487	
Q6XYQ8	SYT10_HUMAN	reviewed	Synaptotagmin-10 (Synaptotagmin X) (SytX)	SYT10	Homo sapiens (Human)	523	
Q86WG3	ATCAY_HUMAN	reviewed	Caytaxin (Ataxia cayman type protein) (BNIP-2-homology) (BNIP-H)	ATCAY KIAA1872	Homo sapiens (Human)	371	SITE 105..106;  /note="Cleavage; by CASP3";  /evidence="ECO:0000269|PubMed:21369758"
Q6ZW05	PTHD4_HUMAN	reviewed	Patched domain-containing protein 4 (p53-regulated patched protein)	PTCHD4 C6orf138 PTCH53	Homo sapiens (Human)	846	
P29475	NOS1_HUMAN	reviewed	Nitric oxide synthase, brain (EC 1.14.13.39) (Constitutive NOS) (NC-NOS) (NOS type I) (Neuronal NOS) (N-NOS) (nNOS) (Peptidyl-cysteine S-nitrosylase NOS1) (bNOS)	NOS1	Homo sapiens (Human)	1434	
Q9NWB1	RFOX1_HUMAN	reviewed	RNA binding protein fox-1 homolog 1 (Ataxin-2-binding protein 1) (Fox-1 homolog A) (Hexaribonucleotide-binding protein 1)	RBFOX1 A2BP A2BP1 FOX1 HRNBP1	Homo sapiens (Human)	397	SITE 118;  /note="Interaction with RNA"; SITE 126;  /note="Interaction with RNA"; SITE 127;  /note="Interaction with RNA"; SITE 151;  /note="Interaction with RNA"; SITE 156;  /note="Interaction with RNA"; SITE 160;  /note="Interaction with RNA"; SITE 184;  /note="Interaction with RNA"; SITE 194;  /note="Interaction with RNA"
Q8N0U7	CA087_HUMAN	reviewed	Uncharacterized protein C1orf87	C1orf87	Homo sapiens (Human)	546	
P23468	PTPRD_HUMAN	reviewed	Receptor-type tyrosine-protein phosphatase delta (Protein-tyrosine phosphatase delta) (R-PTP-delta) (EC 3.1.3.48)	PTPRD	Homo sapiens (Human)	1912	SITE 266;  /note="Required for interaction with IL1RAP";  /evidence="ECO:0000250|UniProtKB:Q64487"; SITE 1181..1182;  /note="Cleavage";  /evidence="ECO:0000305"
Q9UNW9	NOVA2_HUMAN	reviewed	RNA-binding protein Nova-2 (Astrocytic NOVA1-like RNA-binding protein) (Neuro-oncological ventral antigen 2)	NOVA2 ANOVA NOVA3	Homo sapiens (Human)	492	
Q96QE2	MYCT_HUMAN	reviewed	Proton myo-inositol cotransporter (H(+)-myo-inositol cotransporter) (Hmit) (H(+)-myo-inositol symporter) (Solute carrier family 2 member 13)	SLC2A13	Homo sapiens (Human)	648	
Q16515	ASIC2_HUMAN	reviewed	Acid-sensing ion channel 2 (ASIC2) (Amiloride-sensitive brain sodium channel) (Amiloride-sensitive cation channel 1, neuronal) (Amiloride-sensitive cation channel neuronal 1) (Brain sodium channel 1) (BNC1) (BNaC1) (Mammalian degenerin homolog) (MDEG)	ASIC2 ACCN ACCN1 BNAC1 MDEG	Homo sapiens (Human)	512	
Q9BZD7	TMG3_HUMAN	reviewed	Transmembrane gamma-carboxyglutamic acid protein 3 (Proline-rich gamma-carboxyglutamic acid protein 3) (Proline-rich Gla protein 3)	PRRG3 PRGP3 TMG3	Homo sapiens (Human)	231	
P61966	AP1S1_HUMAN	reviewed	AP-1 complex subunit sigma-1A (Adaptor protein complex AP-1 subunit sigma-1A) (Adaptor-related protein complex 1 subunit sigma-1A) (Clathrin assembly protein complex 1 sigma-1A small chain) (Clathrin coat assembly protein AP19) (Golgi adaptor HA1/AP1 adaptin sigma-1A subunit) (HA1 19 kDa subunit) (Sigma 1a subunit of AP-1 clathrin) (Sigma-adaptin 1A) (Sigma1A-adaptin)	AP1S1 AP19 CLAPS1	Homo sapiens (Human)	158	
A6NL88	SHSA7_HUMAN	reviewed	Protein shisa-7 (Cystine-knot AMPAR modulating protein of 59 kDa) (CKAMP59) (GABA(A) receptor auxiliary subunit Shisa7) (Protein shisa-6-like)	SHISA7	Homo sapiens (Human)	538	
P23760	PAX3_HUMAN	reviewed	Paired box protein Pax-3 (HuP2)	PAX3 HUP2	Homo sapiens (Human)	479	SITE 319..320;  /note="Breakpoint for translocation to form PAX3-NCOA1 oncogene"
Q96IM9	DYDC2_HUMAN	reviewed	DPY30 domain-containing protein 2	DYDC2	Homo sapiens (Human)	177	
Q6UUV9	CRTC1_HUMAN	reviewed	CREB-regulated transcription coactivator 1 (Mucoepidermoid carcinoma translocated protein 1) (Transducer of regulated cAMP response element-binding protein 1) (TORC-1) (Transducer of CREB protein 1)	CRTC1 KIAA0616 MECT1 TORC1 WAMTP1	Homo sapiens (Human)	634	SITE 42..43;  /note="Breakpoint for translocation to form the MECT1-MAML2 and MAML2-MECT1 fusion proteins";  /evidence="ECO:0000269|PubMed:12539049, ECO:0000269|PubMed:14720503"; SITE 575;  /note="Required for ubiquitination and degradation";  /evidence="ECO:0000250"
Q9NU39	FX4L1_HUMAN	reviewed	Forkhead box protein D4-like 1 (FOXD4-like 1)	FOXD4L1	Homo sapiens (Human)	408	
P31644	GBRA5_HUMAN	reviewed	Gamma-aminobutyric acid receptor subunit alpha-5 (GABA(A) receptor subunit alpha-5)	GABRA5	Homo sapiens (Human)	462	
Q76B58	BRNP3_HUMAN	reviewed	BMP/retinoic acid-inducible neural-specific protein 3 (DBCCR1-like protein 1)	BRINP3 DBCCR1L DBCCR1L1 FAM5C	Homo sapiens (Human)	766	
P41968	MC3R_HUMAN	reviewed	Melanocortin receptor 3 (MC3-R)	MC3R	Homo sapiens (Human)	323	
P50406	5HT6R_HUMAN	reviewed	5-hydroxytryptamine receptor 6 (5-HT-6) (5-HT6) (Serotonin receptor 6)	HTR6	Homo sapiens (Human)	440	
A6NHS7	MANS4_HUMAN	reviewed	MANSC domain-containing protein 4	MANSC4	Homo sapiens (Human)	340	
Q59EK9	RUN3A_HUMAN	reviewed	RUN domain-containing protein 3A (Rap2-interacting protein 8) (RPIP-8)	RUNDC3A RAP2IP RPIP8	Homo sapiens (Human)	446	
Q15761	NPY5R_HUMAN	reviewed	Neuropeptide Y receptor type 5 (NPY5-R) (NPY-Y5 receptor) (NPYY5-R) (Y5 receptor)	NPY5R NPYR5	Homo sapiens (Human)	445	
Q9H0X6	RN208_HUMAN	reviewed	RING finger protein 208	RNF208	Homo sapiens (Human)	261	
Q5SV17	TM240_HUMAN	reviewed	Transmembrane protein 240	TMEM240 C1orf70	Homo sapiens (Human)	173	
Q8N9Y4	F181A_HUMAN	reviewed	Protein FAM181A	FAM181A C14orf152 HSD-31 HSD31	Homo sapiens (Human)	354	
Q9ULI1	NWD2_HUMAN	reviewed	NACHT and WD repeat domain-containing protein 2 (Leucine-rich repeat and WD repeat-containing protein KIAA1239)	NWD2 KIAA1239	Homo sapiens (Human)	1742	
O43173	SIA8C_HUMAN	reviewed	Sia-alpha-2,3-Gal-beta-1,4-GlcNAc-R:alpha 2,8-sialyltransferase (EC 2.4.99.-) (Alpha-2,8-sialyltransferase 8C) (Alpha-2,8-sialyltransferase III) (ST8 alpha-N-acetyl-neuraminide alpha-2,8-sialyltransferase 3) (Sialyltransferase 8C) (SIAT8-C) (Sialyltransferase St8Sia III) (ST8SiaIII)	ST8SIA3 SIAT8C	Homo sapiens (Human)	380	
Q96PX1	RN157_HUMAN	reviewed	E3 ubiquitin ligase RNF157 (EC 2.3.2.27) (RING finger protein 157) (RING-type E3 ubiquitin transferase RNF157)	RNF157 KIAA1917	Homo sapiens (Human)	679	
Q8NHH1	TTL11_HUMAN	reviewed	Tubulin polyglutamylase TTLL11 (EC 6.3.2.-) (Tubulin--tyrosine ligase-like protein 11)	TTLL11 C9orf20	Homo sapiens (Human)	800	SITE 345;  /note="Essential for specifying alpha-elongation versus initiation step of the polyglutamylase activity";  /evidence="ECO:0000250|UniProtKB:A4Q9E8"
Q14416	GRM2_HUMAN	reviewed	Metabotropic glutamate receptor 2 (mGluR2)	GRM2 GPRC1B MGLUR2	Homo sapiens (Human)	872	
C9J069	AJM1_HUMAN	reviewed	Apical junction component 1 homolog	AJM1 C9orf172	Homo sapiens (Human)	976	
Q9UJ68	MSRA_HUMAN	reviewed	Mitochondrial peptide methionine sulfoxide reductase (EC 1.8.4.11) (Peptide-methionine (S)-S-oxide reductase) (Peptide Met(O) reductase) (Protein-methionine-S-oxide reductase) (PMSR)	MSRA	Homo sapiens (Human)	235	
Q86UU1	PHLB1_HUMAN	reviewed	Pleckstrin homology-like domain family B member 1 (Protein LL5-alpha)	PHLDB1 KIAA0638 LL5A DLNB07	Homo sapiens (Human)	1377	
Q9Y328	NSG2_HUMAN	reviewed	Neuronal vesicle trafficking-associated protein 2 (Neuron-specific protein family member 2) (Protein p19) (Hmp19)	NSG2 CALY3	Homo sapiens (Human)	171	
A7MD48	SRRM4_HUMAN	reviewed	Serine/arginine repetitive matrix protein 4 (Medulloblastoma antigen MU-MB-2.76) (Neural-specific serine/arginine repetitive splicing factor of 100 kDa) (Neural-specific SR-related protein of 100 kDa) (nSR100)	SRRM4 KIAA1853	Homo sapiens (Human)	611	
A2IDD5	CCD78_HUMAN	reviewed	Coiled-coil domain-containing protein 78 (hsCCDC78)	CCDC78 C16orf25 JFP10	Homo sapiens (Human)	438	
P0DMT0	MLN_HUMAN	reviewed	Myoregulin	MRLN MLN	Homo sapiens (Human)	46	
Q9C0A1	ZFHX2_HUMAN	reviewed	Zinc finger homeobox protein 2 (Zinc finger homeodomain protein 2) (ZFH-2)	ZFHX2 KIAA1056 KIAA1762 ZNF409	Homo sapiens (Human)	2572	
P13224	GP1BB_HUMAN	reviewed	Platelet glycoprotein Ib beta chain (GP-Ib beta) (GPIb-beta) (GPIbB) (Antigen CD42b-beta) (CD antigen CD42c)	GP1BB	Homo sapiens (Human)	206	
Q86VR8	FJX1_HUMAN	reviewed	Four-jointed box protein 1 (Four-jointed protein homolog)	FJX1	Homo sapiens (Human)	437	
P08034	CXB1_HUMAN	reviewed	Gap junction beta-1 protein (Connexin-32) (Cx32) (GAP junction 28 kDa liver protein)	GJB1 CX32	Homo sapiens (Human)	283	
Q13449	LSAMP_HUMAN	reviewed	Limbic system-associated membrane protein (LSAMP) (IgLON family member 3)	LSAMP IGLON3 LAMP	Homo sapiens (Human)	338	
O60299	LZTS3_HUMAN	reviewed	Leucine zipper putative tumor suppressor 3 (ProSAP-interacting protein 1) (ProSAPiP1)	LZTS3 KIAA0552 PROSAPIP1	Homo sapiens (Human)	673	
Q2I0M5	RSPO4_HUMAN	reviewed	R-spondin-4 (Roof plate-specific spondin-4) (hRspo4)	RSPO4 C20orf182	Homo sapiens (Human)	234	
A6NFC5	TM235_HUMAN	reviewed	Transmembrane protein 235	TMEM235	Homo sapiens (Human)	223	
Q14C87	T132D_HUMAN	reviewed	Transmembrane protein 132D (Mature oligodendrocytes transmembrane protein) (Mature OL transmembrane protein)	TMEM132D HBE120 KIAA1944 MOLT	Homo sapiens (Human)	1099	
Q9BZC1	CELF4_HUMAN	reviewed	CUGBP Elav-like family member 4 (CELF-4) (Bruno-like protein 4) (CUG-BP- and ETR-3-like factor 4) (RNA-binding protein BRUNOL-4)	CELF4 BRUNOL4	Homo sapiens (Human)	486	
F5H284	PAL4D_HUMAN	reviewed	Peptidyl-prolyl cis-trans isomerase A-like 4D (PPIase A-like 4D) (EC 5.2.1.8)	PPIAL4D	Homo sapiens (Human)	164	
P56179	DLX6_HUMAN	reviewed	Homeobox protein DLX-6	DLX6	Homo sapiens (Human)	175	
Q9NZV8	KCND2_HUMAN	reviewed	Potassium voltage-gated channel subfamily D member 2 (Voltage-gated potassium channel subunit Kv4.2)	KCND2 KIAA1044	Homo sapiens (Human)	630	
Q9BZA8	PC11Y_HUMAN	reviewed	Protocadherin-11 Y-linked (Protocadherin-11) (Protocadherin on the Y chromosome) (PCDH-Y) (Protocadherin prostate cancer) (Protocadherin-PC) (Protocadherin-22)	PCDH11Y PCDH11 PCDH22 PCDHY	Homo sapiens (Human)	1340	
P09017	HXC4_HUMAN	reviewed	Homeobox protein Hox-C4 (Homeobox protein CP19) (Homeobox protein Hox-3E)	HOXC4 HOX3E	Homo sapiens (Human)	264	
Q13153	PAK1_HUMAN	reviewed	Serine/threonine-protein kinase PAK 1 (EC 2.7.11.1) (Alpha-PAK) (p21-activated kinase 1) (PAK-1) (p65-PAK)	PAK1	Homo sapiens (Human)	545	
Q96PC2	IP6K3_HUMAN	reviewed	Inositol hexakisphosphate kinase 3 (InsP6 kinase 3) (EC 2.7.4.21) (Inositol hexaphosphate kinase 3)	IP6K3 IHPK3	Homo sapiens (Human)	410	
Q8IV35	WDR49_HUMAN	reviewed	WD repeat-containing protein 49	WDR49	Homo sapiens (Human)	697	
Q9BVH7	SIA7E_HUMAN	reviewed	Alpha-N-acetylgalactosaminide alpha-2,6-sialyltransferase 5 (EC 2.4.99.-) (GD1 alpha synthase) (GalNAc alpha-2,6-sialyltransferase V) (ST6GalNAc V) (ST6GalNAcV) (Sialyltransferase 7E) (SIAT7-E)	ST6GALNAC5 SIAT7E	Homo sapiens (Human)	336	
P05813	CRBA1_HUMAN	reviewed	Beta-crystallin A3 [Cleaved into: Beta-crystallin A3, isoform A1, Delta4 form; Beta-crystallin A3, isoform A1, Delta7 form; Beta-crystallin A3, isoform A1, Delta8 form]	CRYBA1 CRYB1	Homo sapiens (Human)	215	
Q9NYX4	CALY_HUMAN	reviewed	Neuron-specific vesicular protein calcyon	CALY DRD1IP	Homo sapiens (Human)	217	
P52744	ZN138_HUMAN	reviewed	Zinc finger protein 138	ZNF138	Homo sapiens (Human)	262	
P11137	MTAP2_HUMAN	reviewed	Microtubule-associated protein 2 (MAP-2)	MAP2	Homo sapiens (Human)	1827	
Q8TCU5	NMD3A_HUMAN	reviewed	Glutamate receptor ionotropic, NMDA 3A (GluN3A) (N-methyl-D-aspartate receptor subtype 3A) (NMDAR3A) (NR3A) (NMDAR-L)	GRIN3A KIAA1973	Homo sapiens (Human)	1115	
Q6UXX9	RSPO2_HUMAN	reviewed	R-spondin-2 (Roof plate-specific spondin-2) (hRspo2)	RSPO2 UNQ9384/PRO34209	Homo sapiens (Human)	243	
Q9P0J1	PDP1_HUMAN	reviewed	[Pyruvate dehydrogenase [acetyl-transferring]]-phosphatase 1, mitochondrial (PDP 1) (EC 3.1.3.43) (Protein phosphatase 2C) (Pyruvate dehydrogenase phosphatase catalytic subunit 1) (PDPC 1)	PDP1 PDP PPM2C	Homo sapiens (Human)	537	
Q9H313	TTYH1_HUMAN	reviewed	Protein tweety homolog 1 (hTTY1)	TTYH1	Homo sapiens (Human)	450	
P11229	ACM1_HUMAN	reviewed	Muscarinic acetylcholine receptor M1	CHRM1	Homo sapiens (Human)	460	
Q9ULU8	CAPS1_HUMAN	reviewed	Calcium-dependent secretion activator 1 (Calcium-dependent activator protein for secretion 1) (CAPS-1)	CADPS CAPS CAPS1 KIAA1121	Homo sapiens (Human)	1353	
Q6PEW1	ZCH12_HUMAN	reviewed	Zinc finger CCHC domain-containing protein 12 (Smad-interacting zinc finger protein 1)	ZCCHC12 SIZN1	Homo sapiens (Human)	402	
O95670	VATG2_HUMAN	reviewed	V-type proton ATPase subunit G 2 (V-ATPase subunit G 2) (V-ATPase 13 kDa subunit 2) (Vacuolar proton pump subunit G 2)	ATP6V1G2 ATP6G ATP6G2 NG38	Homo sapiens (Human)	118	
O60883	G37L1_HUMAN	reviewed	G-protein coupled receptor 37-like 1 (Endothelin B receptor-like protein 2) (ETBR-LP-2)	GPR37L1 ETBRLP2	Homo sapiens (Human)	481	
P20472	PRVA_HUMAN	reviewed	Parvalbumin alpha	PVALB	Homo sapiens (Human)	110	
A7KAX9	RHG32_HUMAN	reviewed	Rho GTPase-activating protein 32 (Brain-specific Rho GTPase-activating protein) (GAB-associated Cdc42/Rac GTPase-activating protein) (GC-GAP) (GTPase regulator interacting with TrkA) (Rho-type GTPase-activating protein 32) (Rho/Cdc42/Rac GTPase-activating protein RICS) (RhoGAP involved in the beta-catenin-N-cadherin and NMDA receptor signaling) (p200RhoGAP) (p250GAP)	ARHGAP32 GRIT KIAA0712 RICS	Homo sapiens (Human)	2087	
